steming_data,label
rejim 34 tri 12 wamen 8 jabat tingkat tri dukung 14 stafsus 7 staf milenial sokong ksp amp jubir istana tatar 6 bpip nasehat 9 wantimpres riuh tim hore buzzer pro indonesia hancur,Negatif
hashtag boikotsariroti ajar dukung capres indonesia fanatik ketawa bahagia eh antem wkwk,Negatif
logika permisi masuk rumah ngacak2 rumah permisi tolong username suruh kawasan monas anies kirim surat tuju revitalisasi monas setneg,Positif
rame radikal radikul tadz username ekonomi lesu bodo hashtag link,Positif
mulia bapakbapak rebut kursi kursi,Negatif
coba pakai akal sehat ya deh jargon kis kip masyarkat 60 juta masyarakat indonesia 60 juta miskin sambung,Negatif
plus62 panas hashtag,Negatif
prabowo jokowi jabat indonesia hebat hashtag,Positif
pilih junjung silah hengkang indonesia p,Negatif
tau sikap dingin gebetan bikin panas dinginnn anehh hashtag hashtag hashtag,Positif
hashtag bismillah 3 poin,Positif
kopi haram korupsi seni,Negatif
ketua dewan hormat dpp partai amanat nasional amien rais enam kabinet indonesia maju bentuk presiden joko widodo jokowi hashtag link,Positif
username tuju presiden bangun pribadi puas kepimipinan salam merauke,Positif
username minum anies mabok,Positif
ibadah panggil hati pangilan capres,Negatif
kakek tuabiang provokator hashtag,Positif
pakai kipas angin panas gilir pakai kipas angin besok flu hashtag,Positif
kemarin sharing teman yasssss sadar panggil salah tingkat teman ex eh kampret teman nih hey beb teman sosialita percaya tingkat ukur prioritas rep chat,Positif
username nia ramadhani asyik karaoke pakai busana buka ramai sentil akhirat link,Positif
nadiem hafal al quran ilmu2 proses ajar link,Positif
melly goeslaw marah rekan selebritas parodi gaya pakai sambut tawa hashtag link,Positif
username username tambah plus nia ramadhani,Positif
presiden jokowi 4nies keruk waduk banjir 4nies suruh keruk waduk keruk anggar terlaluuuu username hashtag,Negatif
username username username username iya salah info konfirmasi,Positif
,Positif
butuh korban sukses,Positif
korban rakyat politik hashtag,Positif
media asing sorot prabowo jabat menteri jokowi hashtag,Positif
jurus ampuhh indonesia biar disalahin mohon maaf hashtag hashtag hashtag hashtag hashtag hashtag hashtag link,Positif
tiada hoax,Positif
ijtima ulama paham basic islami hashtag,Negatif
jual laku ya kadrun tauhid hati kuk bendera takbir madjid jalan drun henti jual agama ora laku agama jual drun sasar sontoloyo link,Positif
infrastruktur hasil era jalan mulus era jokowi kasih ganti rugi jokowi berika ganti untung pakar managemen kelas dunia rhenald kasali username soetta sukses bangun runway3 hashtag,Positif
untuuung gua emak emak posyandu pakai sosialita hadehhh link,Positif
anak buah nadiem makarim ken post wa nge blur hashtag link,Positif
garagara prabowo gila jabat indonesia kemarin puji selenggara milu link,Positif
teliti bukti cadar celana cingkrang identik tindak radikalisme link,Positif
username nyanyia merdu ketimbang omong kerja anis,Negatif
username kutuk username koplak,Positif
alhamdulillah nih bdg orang tolol pencet klakson lampu ijo nyala,Positif
username anggota dprd tau fungsi tugas deh sekolah yunior senior jiwa preman anggota dewan ya cc username,Positif
omong senyum ajaaaa mc kondang hashtag username link,Positif
kerjasama ipb gojek link,Positif
ibuibu sosialita jaksel ramah2 banget habis meeting ketemu salam client company pas selesai gue makan pas masuk makan sih ibuibu client nyapa gue dadah2 muka ramah banget uwu,Positif
jakarta darurat banjir pohon2 tebang masyakat bingung serius username tangan banjir hashtag hashtag,Positif
information center informasi real kait produk program hashtag informasi hoax hoax ya kuat tanding sadeeessshhhh,Negatif
ipb spp mahasiswa variasi 15 000 000 semester 500 000 gantung hasil orang tua gratis cmiiw username username,Positif
presiden jajan cilok prestasi hashtag,Positif
anies hebat bu sus bu sus tenggelam kapal anies tenggelam jakarta owkwowkaakwowk hebat hashtag,Positif
username inti nelayan sejahtera tingkat eksport ikan negeri,Positif
hashtag syarat anggota pdi juang ya kantor cabang pdi juang kabupaten rok hilir riau ya daftar anggota pdi juang,Positif
masuk tol pilih 0102,Positif
bilang pilih pimpin milik alam amatir hashtag,Negatif
muntah gnpf ulama bela pemprov dki harga diskotek link,Positif
bungkus rokok geletak ambil otomatis langsung goyanggoyang buang situ orang cari untung mbokmenowo bejo isih sono udude sek karo digajal generasioptimis,Positif
username rakyat papua rindu pimpin hashtag link,Positif
jumat biar umat nabi muhammad biar anggota dukung partai situ sehat,Negatif
ya hashtag hashtag hashtag hashtag hashtag link,Positif
dasar jancuk gampang banget obral janji kau tipu cebong gue maklumin,Positif
keren jooo konsisten,Positif
rinso rini sontoloyo link,Positif
terimakasih wowo terang kiblat barat debat pimpin negeri,Negatif
username bagus apaka s2 fyi baca nama zool pikir tolol maapkan huhu,Positif
kasih perempuan alat kampanye hitam pintu pintu woy hashtag,Positif
pr nadiem makarim kemdikbud sanggup hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag link,Positif
hashtag ungkap,Positif
orang malas orang hilang motivasi hashtag,Positif
beda pilih calon presiden akur teman tetangga keluarga laku negara kembang,Negatif
username gubernur ane warbiasa kosakata pakai langsung diturunken anak buah ya abai faham hashtag,Negatif
username username bangsat hashtag hashtag hashtag hashtag,Positif
jual asik pakai politik laris manis,Positif
terkadang anak muda sesak nafas pekat dada tuntut orang tua proses dewasa,Positif
username goblok,Positif
username username otak maling ya maling maling anggar apbd dki jaring salah input salah hashtag,Positif
psi pdip terang2an tolak perda syariah kencang teriak pancasila hashtag,Negatif
aa doa wan abut gubernur lelah rusak jakarta hashtag,Negatif
satgas novel moga ya gimikgimik manja jelang pilpres,Positif
kemarin bilang antek asing dukung orang asing negara cina weh weh ngomul mulu sih ommm gendut pimpin bikin hoax ya aneh,Negatif
username username indak damping username bu,Positif
username username username baca tl ane tulis asn mlarang cadar cingkrang dtempat kcuali khusus mesti ane info asn cadar amp cingkrang dtempat2,Positif
username kayak ken keritik tuan username,Positif
tunggu duet wishnutama username angela username maju pariwisata indonesia dulang devisa username username hashtag hashtag link,Positif
username username username username judul film maling kondang sutradara gubernur produser parpol doyan duit aktor suku dinas kritikus username hashtag,Positif
username wait username publik tau bahas dewan,Positif
politis username suka kritik jokowi gilir kritik ngeblock salah usung paslon 02 tangkap narkoba ahok masuk allah maha adil hashtag,Positif
username username tolol,Positif
omong dusta hashtag,Positif
sikap egois egosentrishashtag hashtag hashtag hashtag hashtag,Positif
username eksistensi setan ki turun bro nyi roro kidul we saiki hijab mending cosplay dadi anggota dpr,Positif
username nia ramadhani,Positif
salah ya presiden hashtag sikap rendah hati respect,Positif
testimoni papua kitorang basudara indonesia pentas seni budaya papua polres pulau ribu kitorang basudara indonesia username pmj username username hashtag hashtag hashtag hashtag hashtag link,Positif
username alhamdulillah positif lucinta luna,Negatif
username adem solo habitat mu,Negatif
moga sukses dulurrrr,Positif
hasil polri rencana gagal lantik presiden hashtag hashtag link,Positif
username username tolong kasih inggrad joshua ya situ tua harap diam kerja,Positif
username anies tuh hebat bikin banjir sih,Negatif
wow keren mental koruptor,Negatif
lulus kampus lokal belagunya trending lulus ln bayar pakai emas batang kali ya hashtag,Positif
bikin prestasi positif nyebar hoax bikin rush username username bangun positif yuk hashtag,Positif
username ajak ahok tom biar salah tanda tangan ngelolosin rapbd apbd ups,Positif
username rocky gerung pakai akal sehat antum pakai akal busuk,Positif
username username mantap pakai username maju hashtag hashtag,Positif
username username tito lempar anduk janji kss novel b mah takut parapelaku dunia nyata selamat tolong hakim maha adil milik raja langit bumi,Positif
2 orang bodoh debat tepi sungai keruh bijak tunggu air jernih,Positif
wartawan yangvsuka doi komentar moga pimpin dpr zonk hashtag,Positif
kapolri idham aziz media awas jaga sepenuh hati hashtag link,Positif
perihbahasa jaman old lempar batu sembunyi tangan jaman now lempar batu sembunyi ambulance gerindra hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag,Positif
nyawa harga batas batas juang,Positif
cantik banget anjing tahi babi,Positif
hasil itjima ulama agama nihil orang username hina ulama puisi kubu belah rusak username username username username hashtag hashtag hashtag hashtag,Negatif
username sontoloyo,Positif
well unfaedah dd,Positif
ciyee tani bawang nih ya sandiwara fazdlizonk muluu,Negatif
username username gue tangkap apartnya rem digangguin setan diikutin nyi roro kidul link,Positif
username wuih capres keren pakai jas besok pilih deh pakai jas,Negatif
username welcome indonesia sedih banget adaaa hukum laku bullying,Negatif
terimakasih kasih libur gratis hashtag hashtag,Negatif
