steming_data,Sentiment,tokenized_tweet
makan siang gratis donatur swastazakatiuran orang tua nglawak beli rudal istana mangkrak lindung rudalkirim dedemit kesana mumpung istana,Positif,"[1, 3, 2, 4101, 6494, 11, 101, 6495, 96, 1893, 1297, 1298, 1687, 6496, 6497, 3062, 1690, 1297]"
taste buds orang bedabeda ya enak mah paksa makan bikin trauma makan nih program makan siang buangbuang dana lamalama ekonomi maju us korea china soksok bikin program makan siang gratis,Positif,"[11899, 11900, 11, 2231, 6, 31, 94, 112, 1, 23, 1218, 1, 50, 4, 1, 3, 1976, 18, 2913, 95, 297, 1502, 647, 119, 3928, 23, 4, 1, 3, 2]"
orang miskin diam ya aneh nasi box terima anak om dedy beda kali paket nasi makan siang gratis marah omwkwkwkw,Positif,"[11, 66, 451, 6, 153, 30, 78, 53, 7, 202, 1674, 74, 86, 697, 30, 1, 3, 2, 779, 0]"
mohon maaf logika mikirnya makan siang gratis manfaat anak mari ajar manfaat perintah keras jaga harga pangan sejahtera tani pelihara fakir miskin anak lantar dll,Positif,"[733, 205, 608, 1738, 1, 3, 2, 105, 7, 423, 73, 105, 13, 526, 367, 49, 194, 304, 438, 1191, 730, 66, 7, 1988, 154]"
mbak sabrina jajan ribu sd tuju sih makan siang gratis,Positif,"[9, 2475, 285, 132, 80, 56, 10, 1, 3, 2]"
ya banding makan kota studio maybe budget 20rb ya inti 10rb makan siang gratis budget 10rb jujur problem makan siang gratis makan gratis gizi susu,Positif,"[6, 103, 1, 179, 4044, 3480, 170, 2454, 6, 596, 244, 1, 3, 2, 170, 244, 191, 1254, 1, 3, 2, 1, 2, 5, 63]"
lgian biaya makan siang gratis pakai uang pajak klupun anakmasyarakat komplain ya bdw makan siang gratis pakai uang negara fasilitas bantu negara masyarakat gratis,Positif,"[4905, 57, 1, 3, 2, 28, 26, 34, 12713, 12714, 478, 6, 12715, 1, 3, 2, 28, 26, 22, 354, 47, 22, 58, 2]"
korelasi anjir bro pikir nasi box syuting enak coba banding isi nasi box artis menu makan siang gratis beda banget,Positif,"[2070, 262, 404, 68, 30, 78, 229, 31, 48, 103, 127, 30, 78, 184, 25, 1, 3, 2, 74, 20]"
makan siang gratis tuju ningkatin gizi ningkatin syukur,Positif,"[1, 3, 2, 56, 2298, 5, 2298, 59]"
jujur makan gratis kayak emmm mts bayar spp makan siang ya tahan muntaber anying gara nasi kuning sekolah bayar indonesia luas yhh awas presiden,Positif,"[191, 1, 2, 15, 0, 12723, 44, 765, 1, 3, 6, 189, 12395, 1772, 482, 30, 5396, 8, 44, 14, 728, 11014, 93, 32]"
makan gratis pro kontra ya gue gue makan kayak begimane ayam krg mantap lauk dikit makan gratis makan siang kantor gue miris anjir nasi lauk 1 potong kotak telur bumbu balado,Netral,"[1, 2, 246, 655, 6, 16, 16, 1, 15, 6911, 150, 4230, 917, 159, 531, 1, 2, 1, 3, 349, 16, 620, 262, 30, 159, 55, 122, 143, 554, 1542, 6912]"
puyeng duit sok gaya2an bikin program ikn kereta cepat makan siang gratis,Negatif,"[3518, 37, 336, 8610, 23, 4, 131, 1447, 316, 1, 3, 2]"
kocak coba butuh makan siang gratis,Negatif,"[222, 48, 45, 1, 3, 2]"
makan siang gratis proyek nasional dana pajak rakyat puluh triliun wajar kritik biar bungkam,Netral,"[1, 3, 2, 177, 217, 18, 34, 12, 764, 161, 412, 116, 41, 998]"
underline nama program ya cok makan gizi gratis makan siang gratis orang target program mbak nurunin angka stunting makan kasih asal2an capai target,Positif,"[9984, 75, 4, 6, 1164, 1, 5, 2, 1, 3, 2, 11, 351, 4, 9, 2205, 909, 118, 1, 17, 2133, 532, 351]"
bela makan siang gratis iki kiblat anak palestina papua,Netral,"[290, 1, 3, 2, 926, 4836, 7, 2802, 314]"
larang kritik makan siang gratis,Negatif,"[777, 116, 1, 3, 2]"
abang makan rebuu anak kasih makan siang gizi gratis budget cuman 10000 makan kenyang,Positif,"[172, 1, 9158, 7, 17, 1, 3, 5, 2, 170, 206, 581, 1, 258]"
friedman makan siang gratis dana pajak amp spenuhnya masyarakat bayar istilah gratisgretongan buchanan motif politik puja puji tenar kuasa tanggung biaya uang rakyat rakyat dperas keringat,Positif,"[10677, 1, 3, 2, 18, 34, 64, 0, 58, 44, 2853, 0, 0, 0, 333, 1626, 912, 0, 548, 369, 57, 26, 12, 12, 0, 4460]"
gua mah koruptor habis penjara miskin keluarga rekening tarik dana negara pas ngide makan siang gratis pakai dana koruptor koruptor penjara doang keluarga kayak turunanannya,Netral,"[77, 94, 215, 87, 573, 66, 139, 3200, 390, 18, 22, 83, 1511, 1, 3, 2, 28, 18, 215, 215, 573, 104, 139, 15, 8793]"
makan siang gizi gratis,Positif,"[1, 3, 5, 2]"
aneh kocak nih orang sadar sih nasi kotak ala kadar keitung mewah dibandingin menu makan siang gratis,Positif,"[153, 222, 50, 11, 540, 10, 30, 143, 512, 1250, 12695, 618, 707, 25, 1, 3, 2]"
anaklu nasibox kru shooting dll lihat makan siang gratis sih jujur nasibox seminar bagus,Positif,"[8742, 2791, 1515, 923, 154, 33, 1, 3, 2, 10, 191, 2791, 8743, 82]"
dipaksain tuh makan siang gratis elah,Positif,"[1151, 29, 1, 3, 2, 12937]"
im pretty sure nasi box syuting proper makan siang gratis sekolah sekolah,Positif,"[2127, 8346, 3775, 30, 78, 229, 842, 1, 3, 2, 8, 8]"
bela makan siang gratis bikin kayak niat sih wkwkwk lapang kerja dibanyakin biar keluarga rezeki harap makan siang gratis dana ya transparansi pakai uang pribadi,Positif,"[290, 1, 3, 2, 23, 15, 375, 10, 257, 199, 39, 3624, 41, 139, 1577, 168, 1, 3, 2, 18, 6, 817, 28, 26, 269]"
pakai pakai sense om anakanak racun bahan pakai saji makan siang gratis fresh layak makan dana batas porsi makan steak 6 juta porsi racun bangga benerin deh pola pikir,Positif,"[28, 28, 4362, 202, 52, 70, 270, 28, 1204, 1, 3, 2, 2832, 88, 1, 18, 635, 158, 1, 1270, 415, 113, 158, 70, 511, 1488, 114, 1233, 68]"
bilang jaman anies gubernur sekolah jakarta program makan siang gratis gizi hapus pakai janji kampanye semuaprog makan gratis masjid layak gizi,Positif,"[42, 372, 136, 221, 8, 160, 4, 1, 3, 2, 5, 282, 28, 67, 98, 10322, 1, 2, 1322, 88, 5]"
ide makan siang gratis biaya ronaldo,Positif,"[318, 1, 3, 2, 57, 7691]"
lucu sih aplikasi kandang monyet sjw ya katai relate langsung tantrum perhati sekolah timur betapa syukur makan siang gratis,Positif,"[284, 10, 1627, 2285, 1063, 4469, 6, 660, 667, 110, 2286, 374, 8, 459, 1634, 59, 1, 3, 2]"
yeuu 6jt racun 10rebu bjirr inti mah program makan siang gratis benah laksana mending anggarananggaran alokasi halhal urgent,Positif,"[7625, 2695, 70, 4072, 3356, 596, 94, 4, 1, 3, 2, 914, 109, 43, 4473, 289, 1596, 793]"
makan siang gratis,Positif,"[1, 3, 2]"
intermittentmakan siang gratisintermittentmakan siang gratisintermittent yalord kah desember,Negatif,"[6044, 3, 6045, 3, 6046, 6047, 144, 976]"
marah mending bikin anak racun tolong paham anak makan gratis ya janji presiden komoditas politik marah presiden program makan siang dar poles jalan,Negatif,"[779, 43, 23, 7, 70, 245, 241, 7, 1, 2, 6, 67, 32, 4596, 333, 779, 32, 4, 1, 3, 510, 3421, 40]"
nasi box syuting kualitas kayak makan siang gratis 10rb men katering kantor bikin program pakai skala prioritas kasih budget layak,Positif,"[30, 78, 229, 106, 15, 1, 3, 2, 244, 2709, 696, 349, 23, 4, 28, 1460, 272, 17, 170, 88]"
kayak layak nasi box syuting beliau deh makan siang gratis,Positif,"[15, 88, 30, 78, 229, 409, 114, 1, 3, 2]"
nyerah kawan makan siang gratis,Netral,"[5281, 1537, 1, 3, 2]"
apas nih adudu banding layak nasi kotak anak makan nih orang lihat bentuk makan siang gratis ya sih,Positif,"[3026, 50, 9136, 103, 88, 30, 143, 7, 1, 50, 11, 33, 224, 1, 3, 2, 6, 10]"
program makan siang gratis msg ya tenggelam mah,Positif,"[4, 1, 3, 2, 305, 6, 1035, 94]"
botak tau ya gratis kalimat makan siang gizi gratis gratis wajar beli kritik ndul gundul,Positif,"[242, 51, 6, 2, 1321, 1, 3, 5, 2, 2, 412, 96, 116, 12142, 1609]"
mikir yaudah rumah entar makan mode survival ungsi pilihanopsi2 makan siang gratis seko bikin kelaperan depresi dipaksa2 makan suka,Netral,"[210, 868, 76, 418, 1, 4797, 4873, 1993, 12815, 1, 3, 2, 676, 23, 1762, 4561, 12816, 1, 102]"
makan siang gratis perintah,Positif,"[1, 3, 2, 13]"
siswa sd gorontalo bawa pulang makan siang gratis nasi rumah ya tunjang gaji jabat keluarga makan susah,Positif,"[36, 80, 2048, 130, 287, 1, 3, 2, 30, 76, 6, 208, 72, 61, 139, 1, 166]"
makan siang gratis bermacam2 masakan orangwajar komplain kau racun tuh msgmacam betuuuulll kau,Positif,"[1, 3, 2, 8254, 527, 8255, 478, 345, 70, 29, 8256, 8257, 345]"
ah enak makan siang gratis awas aparat bersenjatadi goblok orang kayak,Negatif,"[509, 31, 1, 3, 2, 93, 1076, 9540, 271, 11, 15]"
makan siang gratisenakngga enakmasih prolemakenapa sih kasih judul makan siang bersamajadi enak enakyg tanam,Positif,"[1, 3, 0, 0, 0, 10, 17, 587, 1, 3, 0, 31, 0, 1075]"
makan siang gratis makan full gizi,Positif,"[1, 3, 2, 1, 754, 5]"
fyi berita hubung makan siang gratis perintah,Netral,"[1184, 204, 1109, 1, 3, 2, 13]"
eh ya kagak makan siang gratis,Positif,"[126, 6, 175, 1, 3, 2]"
doa korban tinggal makan siang gratis,Netral,"[1132, 427, 141, 1, 3, 2]"
viral video simulasi program makan gizi gratis mbak kabupaten majalengka gelar konsep beda daerah video unggah akun tiktok makan siang siswa kotak makan,Positif,"[515, 234, 988, 4, 1, 5, 2, 9, 328, 2995, 746, 434, 74, 91, 234, 1652, 686, 330, 1, 3, 36, 143, 1]"
maaaaafff sesi asik manitonya anak presiden maaf ya bagibagi makan siang gratis dibikinin beef wellington bilang ya jago proud,Positif,"[5804, 2932, 1252, 5805, 7, 32, 205, 6, 830, 1, 3, 2, 2933, 5806, 5807, 42, 6, 1620, 5808]"
jenderal ayng hormat tolong anggota dikondisikankode etik anggota tni pangkat letkol tituler anak usia dewasa terima program makan siang gratis sih anak komplain makan program,Netral,"[1551, 8058, 876, 245, 163, 8059, 3430, 163, 464, 2650, 1157, 1805, 7, 940, 1205, 53, 4, 1, 3, 2, 10, 7, 478, 1, 4]"
kga banding nasbox anak makan makan siang gratis om wkwkwk,Positif,"[10769, 103, 0, 7, 1, 1, 3, 2, 202, 257]"
makan siang gratis gizi 10rb,Positif,"[1, 3, 2, 5, 244]"
anggota tni pangkat letkol marahin terima program makan siang gratis sih anak komplain makan terima program,Positif,"[163, 464, 2650, 1157, 1918, 53, 4, 1, 3, 2, 10, 7, 478, 1, 53, 4]"
apple apple jinkk nasi kotak lokasi syuting budget 20rb35rb kotak makan siang gratis prabowo budget 10rb kotak note 10ribu kotor bom potong korupsi pemaen,Negatif,"[521, 521, 11060, 30, 143, 537, 229, 170, 11061, 143, 1, 3, 2, 21, 170, 244, 143, 2467, 971, 2730, 722, 122, 62, 11062]"
akun sadfood ya aktif era makan siang gratis banjir konten nih,Positif,"[686, 1960, 6, 948, 564, 1, 3, 2, 235, 663, 50]"
nasi box bwat kru artis lue samain menu makan siang gratislu waras ded,Positif,"[30, 78, 3072, 1515, 184, 2702, 1006, 25, 1, 3, 12961, 1330, 632]"
tolong kondisi letkol tituler tni usia dewasa komplain makan terima program makan siang gratis bungkam suruh diam komplain,Positif,"[245, 439, 1157, 1805, 464, 940, 1205, 478, 1, 53, 4, 1, 3, 2, 998, 65, 451, 478]"
oooo makan siang gratis dana ya gacukup garagara budget buzzer ya,Positif,"[3816, 1, 3, 2, 18, 6, 3969, 872, 170, 195, 6]"
bacot suruh anak lo bulking pakai makan siang gratis tuh bentuk tuh otot,Negatif,"[781, 65, 7, 117, 4981, 28, 1, 3, 2, 29, 224, 29, 4982]"
makan silah silah kasih bebas anak terima makan siang gratis silah anak lulus,Positif,"[1, 934, 934, 17, 741, 7, 53, 1, 3, 2, 934, 7, 959]"
azka suruh makan pakai makan siang gratis coba,Netral,"[385, 65, 1, 28, 1, 3, 2, 48]"
ya makan siang gratis biaya siswa ya,Positif,"[6, 1, 3, 2, 57, 36, 6]"
makan siang gratis,Positif,"[1, 3, 2]"
cie makan steak 6000000porsi dibandingin budget makan siang gratis 10000porsi tuh paham,Positif,"[6100, 1, 1270, 6101, 707, 170, 1, 3, 2, 6102, 29, 241]"
gue pro kontra berjalanny makan siang gratis ide ahok bagus pikir kontra its way less,Positif,"[16, 246, 655, 11585, 1, 3, 2, 318, 961, 82, 68, 655, 744, 3513, 11586]"
opini mudah counter mas azka kuliah menu makan siang gratis tuju bikin siswa bulking,Positif,"[650, 499, 5254, 293, 385, 440, 25, 1, 3, 2, 56, 23, 36, 4981]"
rokok proses makan siang gratis,Positif,"[804, 370, 1, 3, 2]"
gantung dik sih gua tuju om botak gua lahir keluarga ekonomi miskin susah kategori gua didik makanmakanan basi ya gua posisi min siang gratis,Negatif,"[863, 1010, 10, 77, 56, 202, 242, 77, 836, 139, 95, 66, 166, 2045, 77, 38, 2902, 275, 6, 77, 1793, 642, 3, 2]"
mbak makan siang gizi gratis sisi gelap mbak lahan basah korupsi akibat kualitas gizi mbak rendah hancur apbn tambal dana zakat baznas apbd dsb chindo wajib deportasi,Negatif,"[9, 1, 3, 5, 2, 747, 2032, 9, 643, 1552, 62, 595, 106, 5, 9, 487, 821, 121, 4796, 18, 69, 1121, 742, 1333, 10871, 475, 10872]"
alhamdulillah racun makan siang gratis ku senaaaang ayam matang sayur tabur garam susu cant wait besok racun ya,Positif,"[441, 70, 1, 3, 2, 302, 7385, 150, 1072, 252, 7386, 1481, 63, 2676, 7387, 450, 70, 6]"
halah munafik proker makan siang gratis dipaksain jalan janji kampanye dana mepet muncul ide ngemis,Positif,"[1658, 3189, 1557, 1, 3, 2, 1151, 40, 67, 98, 18, 4296, 398, 318, 921]"
miskin sok indonesia makan siang gratis tuh paksa kasih sekolah gratis orang ekonomi lemah uang saku masak enak,Positif,"[66, 336, 14, 1, 3, 2, 29, 112, 17, 8, 2, 11, 95, 815, 26, 549, 207, 31]"
makan siang gratis sekolah ppn cuman 10 cuk,Positif,"[1, 3, 2, 8, 90, 206, 145, 2747]"
percaya makan siang gratis dongo sih,Positif,"[348, 1, 3, 2, 943, 10]"
makan makan siang gratis omon omon tahi ledig,Netral,"[1, 1, 3, 2, 497, 497, 378, 10928]"
rela zakat pakai makan siang gratis ogeb banget perintah pakai hitung tuju capai sasar atur kabupaten maksimalin kumpul zakat asn ajar,Positif,"[677, 69, 28, 1, 3, 2, 8547, 20, 13, 28, 533, 56, 532, 198, 456, 328, 8548, 723, 69, 1150, 73]"
ya banding nasi box acara tv makan gratis sih ya nasi box acara2 minim tuh nasi padang merek kenal nasi padang enak menu makan siang kayak makana sisa ujung2nya suruh syukur,Positif,"[6, 103, 30, 78, 556, 1128, 1, 2, 10, 6, 30, 78, 9504, 844, 29, 30, 1090, 9505, 834, 30, 1090, 31, 25, 1, 3, 15, 9506, 584, 725, 65, 59]"
mumpung gua mah prabowo malu udahin makan siang gratis akuin program bahas,Positif,"[1690, 77, 94, 21, 251, 3258, 1, 3, 2, 3621, 4, 226]"
makan siang gratis emak gwehv,Positif,"[1, 3, 2, 978, 11372]"
infak pbnu makan siang gratis tlah kasih tambang tuju,Positif,"[1407, 1787, 1, 3, 2, 7962, 17, 545, 56]"
stop samaratakan nasi box artis program makan siang gratis nasi box isi nasi padang 200 ribu program tuh kualitas makan budget makan nasi box,Positif,"[152, 0, 30, 78, 184, 4, 1, 3, 2, 30, 78, 127, 30, 1090, 2273, 132, 4, 29, 106, 1, 170, 1, 30, 78]"
orang lapar beli perintah makan siang gratis ya,Positif,"[11, 301, 96, 13, 1, 3, 2, 6]"
iya sih dimasakin makan kasih makan orang mesti syukur etis katai enak konteks makan siang gizi gratis perintah enak amp gizi sekolah sih anak bilang ayam enak,Positif,"[231, 10, 1475, 1, 17, 1, 11, 514, 59, 4696, 660, 31, 743, 1, 3, 5, 2, 13, 31, 64, 5, 8, 10, 7, 42, 150, 31]"
gue bela enih gue tahap pasrah bodoamat presiden keluarga sarjana lumayan kak kuliah gratis beasiswa makan siang gratis gue menu reng program,Positif,"[16, 290, 4096, 16, 1086, 6471, 3523, 32, 139, 1384, 429, 176, 440, 2, 771, 1, 3, 2, 16, 25, 0, 4]"
sangka kelas blio logika berfikirnya aneh nasi box makan azka disamain nasi box nasi makan siang gratis protes salah anak disebutin vendor isi duh mbok ya napak bumi,Netral,"[1358, 225, 6162, 608, 6163, 153, 30, 78, 1, 385, 1003, 30, 78, 30, 1, 3, 2, 253, 54, 7, 6164, 357, 127, 1276, 1665, 6, 3955, 1834]"
wkwkwkwk freak banget marahin bocah indonesia protes makan siang gratis protes makan emak anjir makan wkwkwkkwkw,Negatif,"[706, 0, 20, 1918, 623, 14, 253, 1, 3, 2, 253, 1, 978, 262, 1, 0]"
suruh 58 persen 16 24 persen pilih 02 program makan siang gratis enak,Positif,"[65, 324, 700, 1881, 2218, 700, 46, 185, 4, 1, 3, 2, 31]"
biar rokok mudah murah silah makan siang gratis,Positif,"[41, 804, 499, 276, 934, 1, 3, 2]"
tawar kerja level beda makan siang gratis waspada bagus,Netral,"[859, 39, 1129, 74, 1, 3, 2, 3627, 82]"
orangtua tau kali kasih mkanan pergi tamu wedding kasih nasi kotak raya syukur bikin mah beda sih judul makan siang gratis gizi gizi penuh,Positif,"[899, 51, 86, 17, 4893, 2327, 2563, 9032, 17, 30, 143, 879, 59, 23, 94, 74, 10, 587, 1, 3, 2, 5, 5, 97]"
program makan siang gratis dom gue mangkrak anjir wkwkwkk rekrut 50 orang woro woro eh diam bae kagak gera datang aparat tipu,Negatif,"[4, 1, 3, 2, 4881, 16, 1298, 262, 8961, 1361, 737, 11, 3562, 3562, 126, 451, 1925, 175, 1081, 8962, 1076, 639]"
bro istri nangkep urgensi makan siang gratis,Positif,"[404, 827, 3807, 901, 1, 3, 2]"
makan siang gizi hahaha gratis hahaha,Positif,"[1, 3, 5, 783, 2, 783]"
wkwk gadapet makan siang gratis asik9,Positif,"[171, 1947, 1, 3, 2, 0]"
jatah nasi box syuting beli catering budget min 25k mah banding budget makan siang gratis program perintah you roidtard,Positif,"[322, 30, 78, 229, 96, 340, 170, 642, 3401, 94, 103, 170, 1, 3, 2, 4, 13, 641, 12166]"
dengar testimoni adik adik makan siang gratis komentar percaya jalan,Positif,"[382, 1932, 885, 885, 1, 3, 2, 323, 348, 40]"
coba sih azka kasih makan siang gratis ayam mateng tuh anak mules racun tabok anak botak,Negatif,"[48, 10, 385, 17, 1, 3, 2, 150, 1370, 29, 7, 3522, 70, 1005, 7, 242]"
mbak makan siang gizi gratis sisi gelap mbak lahan basah korupsi akibat kualitas gizi mbak rendah hancur apbn tambal dana zakat baznas apbd dsb chindo wajib deportasi,Negatif,"[9, 1, 3, 5, 2, 747, 2032, 9, 643, 1552, 62, 595, 106, 5, 9, 487, 821, 121, 4796, 18, 69, 1121, 742, 1333, 10871, 475, 10872]"
nasi box isi duludi banding nasi gratis beda ya gundul sok keras ngadi ahenegh gue makan siang gratis racun nyuruh tuh makan makanwaah mmng raja pea aah dasar sero cimol,Positif,"[30, 78, 127, 11579, 103, 30, 2, 74, 6, 1609, 336, 526, 5390, 11580, 16, 1, 3, 2, 70, 1273, 29, 1, 11581, 3704, 1119, 665, 11582, 169, 11583, 3268]"
bilang program makan siang gratis botak,Positif,"[42, 4, 1, 3, 2, 242]"
prohram kerja oenting makan siang gratis cari sumber dana kemana2,Positif,"[10918, 39, 10919, 1, 3, 2, 99, 286, 18, 1877]"
ya orang kayak kayak orang kayak mas bocil jujur makan siang gratis kayak even azka makan makan box suting ajak makan restoran habis dibandinginnya anak bjir,Negatif,"[6, 11, 15, 15, 11, 15, 293, 524, 191, 1, 3, 2, 15, 1154, 385, 1, 1, 78, 1439, 627, 1, 2025, 87, 5563, 7, 866]"
imo makan siang gratis mending perintah lapang kerja diskriminasi usia kasih upah layak anak butuh pangan gizi faktor ekonomi keluarga sulit biar orang tua nyediain gizi anak,Negatif,"[3304, 1, 3, 2, 43, 13, 199, 39, 8452, 940, 17, 1280, 88, 7, 45, 194, 5, 1486, 95, 139, 422, 41, 11, 101, 1974, 5, 7]"
ih kocak banget dijelasin loh zakat dana makan siang gratis pakai anjing nolak segitu rendah kah harga rela orang,Netral,"[1126, 222, 20, 2375, 230, 69, 18, 1, 3, 2, 28, 307, 721, 666, 487, 144, 49, 677, 11]"
dasar program makan siang gratis ribut tuh anak anak sd manja beda kelas anak anak china,Negatif,"[169, 4, 1, 3, 2, 637, 29, 7, 7, 80, 4859, 74, 225, 7, 7, 119]"
hei lihat berita 50 anak racun makan siang gratis nasi box nasi box kasih gratis alis beda v jamin kualitas anak makan makan publik,Positif,"[1855, 33, 204, 737, 7, 70, 1, 3, 2, 30, 78, 30, 78, 17, 2, 8155, 74, 1342, 325, 106, 7, 1, 1, 535]"
wkwkwk makan siang gratis anak sekolah duit rakyat kelola perintah kasih sih anak mending langsung duit gua kasih anak gua kapai calo,Negatif,"[257, 1, 3, 2, 7, 8, 37, 12, 157, 13, 17, 10, 7, 43, 110, 37, 77, 17, 7, 77, 379, 7777]"
hwang yeji makan siang gratis,Positif,"[11214, 11215, 1, 3, 2]"
dar kampanye pilpres analisa publik program makan siang gratis keok implementasi ya dasar bebal ambisi kuasa jual harga amp sumpah jabat lenggang klan mukidi cs maaf teriak bangsat,Positif,"[510, 98, 406, 4244, 535, 4, 1, 3, 2, 4245, 699, 6, 169, 2110, 1337, 548, 315, 49, 64, 607, 61, 4246, 6946, 6947, 2982, 205, 1493, 982]"
makan siang makan malam puding banssr ambil makan siang gratis lihat siswa makan tempek doang,Positif,"[1, 3, 1, 298, 3992, 0, 133, 1, 3, 2, 33, 36, 1, 0, 104]"
mjb kasih bantu syukur kemarin dpr usul biar rakyat nyumbang makan siang gratis kakak omong sembako mahal ppn lupa 1 dpr asih usul nyumbang gelo,Positif,"[7553, 17, 47, 59, 120, 239, 181, 41, 12, 353, 1, 3, 2, 604, 134, 682, 280, 90, 308, 55, 239, 92, 181, 353, 7554]"
disambungin makan racun relate sih ente omong makan siang gratis racun lai cerita,Netral,"[12520, 1, 70, 667, 10, 1566, 134, 1, 3, 2, 70, 3088, 519]"
wkwkwkwk coba makan siang gratis anak sekolah balikpapan,Positif,"[706, 48, 1, 3, 2, 7, 8, 3277]"
nasi box mah lengkap bjir lauk pauk makan siang gratis mah lauk seuprit sad food,Positif,"[30, 78, 94, 380, 866, 159, 3580, 1, 3, 2, 94, 159, 2749, 1265, 265]"
we got mario sirait coba makan siang gratis before gta vi,Netral,"[1001, 5154, 13026, 5297, 48, 1, 3, 2, 4490, 13027, 13028]"
sih botak tau sawah papar limbah bisnis tambang amp tanah rakyat rampas lahan bisnis tambang rakyat masak enak amp gizi makan siang gratis rampas,Negatif,"[10, 242, 51, 4338, 1605, 3102, 605, 545, 64, 646, 12, 1317, 643, 605, 545, 12, 207, 31, 64, 5, 1, 3, 2, 1317]"
makan siang gratis popmi kah,Positif,"[1, 3, 2, 7048, 144]"
hadiah makan siang gratis,Positif,"[1055, 1, 3, 2]"
beda nasi kotak syuting artis kru tv nasi makan siang gratis 10rebu,Positif,"[74, 30, 143, 229, 184, 1515, 1128, 30, 1, 3, 2, 4072]"
om ded kuliah tinggitinggi melek realita coba baca berita racun makan siang gratis huft,Netral,"[202, 632, 440, 3776, 1887, 1942, 48, 255, 204, 70, 1, 3, 2, 3678]"
botak biadab makan siang gratis kau nasi box crew syuting ya beda harga beda kualitas beda sabrina carpenter jella jelly drink orang susah ya tau tunggu klarifikasi,Positif,"[242, 2617, 1, 3, 2, 345, 30, 78, 1452, 229, 6, 74, 49, 74, 106, 74, 2475, 12581, 12582, 1372, 1837, 11, 166, 6, 51, 209, 2662]"
habis anggar bansos alih program makan siang gizi gratis,Positif,"[87, 19, 397, 128, 4, 1, 3, 5, 2]"
suruh makan siang gratis bacot,Netral,"[65, 1, 3, 2, 781]"
ngarahin bazer ban fakta lapangam kelas dc bercuap2 salah bilang makananya enak prediksa deh carut marut makan siang gratis ngeyel,Negatif,"[5635, 5636, 2900, 446, 5637, 225, 1449, 5638, 54, 42, 1788, 31, 5639, 114, 2041, 2042, 1, 3, 2, 2384]"
hahahahahha kacau pikir makan siang gratis normal normal,Positif,"[0, 873, 68, 1, 3, 2, 1655, 1655]"
azka makan siang gratis om pure sih,Positif,"[385, 1, 3, 2, 202, 2583, 10]"
bro pikir makan siang gratis gratis perintah rakyat pertanyaanya perintah uang,Positif,"[404, 68, 1, 3, 2, 2, 13, 12, 6883, 13, 26]"
maju program sarap gratis sarap makan gizi gratis beda judul kalimat sarap pagi2 siang,Positif,"[297, 4, 214, 2, 214, 1, 5, 2, 74, 587, 1321, 214, 4889, 3]"
suruh tuh orang makan menu siang gratis doyan kagak,Negatif,"[65, 29, 11, 1, 25, 3, 2, 904, 175]"
alhamdulilah relate tahan laper makan nasi pakai garamtahu makan siang gratis relevan korban wajar kritik,Netral,"[1920, 667, 189, 1172, 1, 30, 28, 6906, 1, 3, 2, 1127, 427, 412, 116]"
bilang jepang makan siang gratis coba cari tau kualitas makan beda,Negatif,"[42, 268, 1, 3, 2, 48, 99, 51, 106, 1, 74]"
habis tonton video deddy corbuzier komentar protes anak makan siang gratis nge compare azka syuting makan nasi kotak as we can sih makan siang gratis tampil gugah selera amp tampak gizi basi racun,Negatif,"[87, 1007, 234, 426, 785, 323, 253, 7, 1, 3, 2, 1597, 1732, 385, 229, 1, 30, 143, 787, 1001, 2280, 10, 1, 3, 2, 1061, 2426, 457, 64, 2283, 5, 275, 70]"
program makan siang gratis matang nikmat dll bayar ya,Positif,"[4, 1, 3, 2, 1072, 220, 154, 44, 6]"
anak kasih makan siang gratis bom brisik,Netral,"[7, 17, 1, 3, 2, 722, 13009]"
lo salah men makan siang gratis gaenaknya mata gue lihat dagu lo,Netral,"[117, 54, 2709, 1, 3, 2, 0, 562, 16, 33, 1519, 117]"
hehehe beliau anti kritik logika ya jalan compare nasi kotak makan siang syukur makan siang racun syukurin nama makan gizi gratis gizi ya perhati lucu ya,Positif,"[1969, 409, 476, 116, 608, 6, 40, 1732, 30, 143, 1, 3, 59, 1, 3, 70, 4182, 75, 1, 5, 2, 5, 6, 374, 284, 6]"
komentar program makan siang gratis merta hak lempar salah barangkali orang tua rumah pilih upaya program makan siang om ded anak marah,Negatif,"[323, 4, 1, 3, 2, 7471, 291, 1729, 54, 3107, 11, 101, 76, 46, 750, 4, 1, 3, 202, 632, 7, 779]"
project makan siang gratis kpi kpinya kagak nilai serba bias asli,Positif,"[1848, 1, 3, 2, 4886, 8985, 175, 249, 1137, 2113, 606]"
panik usul masuk akal bikin program makan siang gratis pikir sumber dana uang negara boncos ikn bansos paksa jalan program gentle maaf rakyat,Negatif,"[2559, 181, 79, 237, 23, 4, 1, 3, 2, 68, 286, 18, 26, 22, 2326, 131, 397, 112, 40, 4, 4007, 205, 12]"
boroboro mikir ikn makan siang gratis dana,Positif,"[4555, 210, 131, 1, 3, 2, 18]"
program makan siang gratis enak beban rakyatcccc,Netral,"[4, 1, 3, 2, 31, 174, 10135]"
palu botak peaaaaaa coba suruh anak makan menu makan siang gratis 10 ribu daerah lihat muntah anak,Negatif,"[4266, 242, 9541, 48, 65, 7, 1, 25, 1, 3, 2, 145, 132, 91, 33, 1216, 7]"
