tweet,tweet_cleaning,tweet_casefolding,normalisasi,label,tokenize,stopword removal,steming_data
Mari kt sambit Artis nyokap kota yng sngt dicintai & disembah umatnya .???? jeng .. jeng ... <hashtag> <hashtag>,Mari kt sambit Artis nyokap kota yng sngt dicintai disembah umatnya jeng jeng hashtag hashtag,mari kt sambit artis nyokap kota yng sngt cinta sembah umat jeng jeng hashtag hashtag,mari kita sambit artis nyokap kota yang sangat cinta sembah umat jeng jeng hashtag hashtag,1,"['mari', 'kita', 'sambit', 'artis', 'nyokap', 'kota', 'yang', 'sangat', 'cinta', 'sembah', 'umat', 'jeng', 'jeng', 'hashtag', 'hashtag']","['mari', 'sambit', 'artis', 'nyokap', 'kota', 'cinta', 'sembah', 'umat', 'jeng', 'jeng', 'hashtag', 'hashtag']",mari sambit artis nyokap kota cinta sembah umat jeng jeng hashtag hashtag
<username> Tul bro gendang gendruwo siluman semua .. Rezim jae pinokio memang sontoloyo hhuuu ..Ã°Å¸ËœÂ¬Ã°Å¸Ëœ,username Tul bro gendang gendruwo siluman semua Rezim jae pinokio memang sontoloyo hhuuu ÃÅËœÂÃÅËœ,username tul bro gendang gendruwo siluman rezim jae pinokio sontoloyo hhuuu ,username tul bro gendang gendruwo siluman rezim jae pinokio sontoloyo hhuuu,0,"['username', 'tul', 'bro', 'gendang', 'gendruwo', 'siluman', 'rezim', 'jae', 'pinokio', 'sontoloyo', 'hhuuu']","['username', 'tul', 'bro', 'gendang', 'gendruwo', 'siluman', 'rezim', 'jae', 'pinokio', 'sontoloyo', 'hhuuu']",username tul bro gendang gendruwo siluman rezim jae pinokio sontoloyo hhuuu
<username> <username> <username> <username> <username> <username> <username> <username> Goblok,username username username username username username username username Goblok,username username username username username username username username goblok,username username username username username username username username goblok,0,"['username', 'username', 'username', 'username', 'username', 'username', 'username', 'username', 'goblok']","['username', 'username', 'username', 'username', 'username', 'username', 'username', 'username', 'goblok']",username username username username username username username username goblok
Dungu .... tolol .... bego ..... semua di borong ama bani kampret .....<username> ... knp ngak nanya prabowo aja junjungannmu ... brp nyawa yg dia hilangkan ..dgn provokasi kelompok beliau ..... <hashtag> <hashtag> <hashtag> <hashtag>,Dungu tolol bego semua di borong ama bani kampret username knp ngak nanya prabowo aja junjungannmu brp nyawa yg dia hilangkan dgn provokasi kelompok beliau hashtag hashtag hashtag hashtag,dungu tolol bego borong ama bani kampret username knp ngak nanya prabowo aja junjungannmu brp nyawa yg hilang dgn provokasi kelompok beliau hashtag hashtag hashtag hashtag,dungu tolol bego borong sama bani kampret username kenapa tidak bertanya prabowo saja junjungannmu berapa nyawa yang hilang dengan provokasi kelompok beliau hashtag hashtag hashtag hashtag,0,"['dungu', 'tolol', 'bego', 'borong', 'sama', 'bani', 'kampret', 'username', 'kenapa', 'tidak', 'bertanya', 'prabowo', 'saja', 'junjungannmu', 'berapa', 'nyawa', 'yang', 'hilang', 'dengan', 'provokasi', 'kelompok', 'beliau', 'hashtag', 'hashtag', 'hashtag', 'hashtag']","['dungu', 'tolol', 'bego', 'borong', 'bani', 'kampret', 'username', 'prabowo', 'junjungannmu', 'nyawa', 'hilang', 'provokasi', 'kelompok', 'beliau', 'hashtag', 'hashtag', 'hashtag', 'hashtag']",dungu tolol bego borong bani kampret username prabowo junjungannmu nyawa hilang provokasi kelompok beliau hashtag hashtag hashtag hashtag
Sistem pemerintahan dah berubah dari presidensial menjadi menterisial :-) <hashtag>,Sistem pemerintahan dah berubah dari presidensial menjadi menterisial hashtag,sistem perintah dah ubah presidensial menterisial hashtag,sistem perintah sudah ubah presidensial menterisial hashtag,1,"['sistem', 'perintah', 'sudah', 'ubah', 'presidensial', 'menterisial', 'hashtag']","['sistem', 'perintah', 'ubah', 'presidensial', 'menterisial', 'hashtag']",sistem perintah ubah presidensial menterisial hashtag
<username> ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ <hashtag>,username ðŸðŸðŸðŸ hashtag,username  hashtag,username hashtag,0,"['username', 'hashtag']","['username', 'hashtag']",username hashtag
Jangan takut banjir orang Jakarta sudah terlatih anggap saja ini berkah Imlek cukup pegang toa teriak banjir banjir ... Ayo ngopi bareng dilantai atas sambil nunggu antrian air masuk ke tanah!!. ????<hashtag>,Jangan takut banjir orang Jakarta sudah terlatih anggap saja ini berkah Imlek cukup pegang toa teriak banjir banjir Ayo ngopi bareng dilantai atas sambil nunggu antrian air masuk ke tanah hashtag,takut banjir orang jakarta latih anggap berkah imlek pegang toa teriak banjir banjir ayo ngopi bareng lantai nunggu antri air masuk tanah hashtag,takut banjir orang jakarta latih anggap berkah imlek pegang toa teriak banjir banjir ayo ngopi bareng lantai menunggu antri air masuk tanah hashtag,1,"['takut', 'banjir', 'orang', 'jakarta', 'latih', 'anggap', 'berkah', 'imlek', 'pegang', 'toa', 'teriak', 'banjir', 'banjir', 'ayo', 'ngopi', 'bareng', 'lantai', 'menunggu', 'antri', 'air', 'masuk', 'tanah', 'hashtag']","['takut', 'banjir', 'orang', 'jakarta', 'latih', 'anggap', 'berkah', 'imlek', 'pegang', 'toa', 'teriak', 'banjir', 'banjir', 'ayo', 'ngopi', 'bareng', 'lantai', 'menunggu', 'antri', 'air', 'masuk', 'tanah', 'hashtag']",takut banjir orang jakarta latih anggap berkah imlek pegang toa teriak banjir banjir ayo ngopi bareng lantai tunggu antri air masuk tanah hashtag
Aku juga mau jadi nia ramadhani <link>,Aku juga mau jadi nia ramadhani link,nia ramadhani link,nia ramadhani link,0,"['nia', 'ramadhani', 'link']","['nia', 'ramadhani', 'link']",nia ramadhani link
LONTE SEMUA GBLK,LONTE SEMUA GBLK,lonte gblk,lonte gblk,0,"['lonte', 'gblk']","['lonte', 'gblk']",lonte gblk
<username> <username> <username> <username> Yg negur <username> koplak Mungkin mau praktekin slogan tuannya BOLEH KORUPSI ASAL SANTUN CC <username>,username username username username Yg negur username koplak Mungkin mau praktekin slogan tuannya BOLEH KORUPSI ASAL SANTUN CC username,username username username username yg negur username koplak praktekin slogan tuan korupsi santun cc username,username username username username yang negur username kocak mempraktikkan slogan tuan korupsi santun cc username,0,"['username', 'username', 'username', 'username', 'yang', 'negur', 'username', 'kocak', 'mempraktikkan', 'slogan', 'tuan', 'korupsi', 'santun', 'cc', 'username']","['username', 'username', 'username', 'username', 'negur', 'username', 'kocak', 'mempraktikkan', 'slogan', 'tuan', 'korupsi', 'santun', 'cc', 'username']",username username username username negur username kocak praktik slogan tuan korupsi santun cc username
Kamu ini sapa ?? ko mau <hashtag> padahal selama ini kalian yg demen nyerang NU kalian yg paling nyinyir Islam Nusantara kalian yg paling benci Banser semua amaliah NU kalian anggap Bid\'ah ... Ojo nggaya-nggaya ndadak <hashtag> . . <link>,Kamu ini sapa ko mau hashtag padahal selama ini kalian yg demen nyerang NU kalian yg paling nyinyir Islam Nusantara kalian yg paling benci Banser semua amaliah NU kalian anggap Bidah Ojo nggayanggaya ndadak hashtag link,sapa ko hashtag yg demen nyerang nu yg nyinyir islam nusantara yg benci banser amaliah nu anggap bidah ojo nggayanggaya ndadak hashtag link,sapa kok hashtag yang demen menyerang nu yang nyinyir islam nusantara yang benci banser amaliah nu anggap bidah ojo nggayanggaya ndadak hashtag link,0,"['sapa', 'kok', 'hashtag', 'yang', 'demen', 'menyerang', 'nu', 'yang', 'nyinyir', 'islam', 'nusantara', 'yang', 'benci', 'banser', 'amaliah', 'nu', 'anggap', 'bidah', 'ojo', 'nggayanggaya', 'ndadak', 'hashtag', 'link']","['sapa', 'hashtag', 'demen', 'menyerang', 'nu', 'nyinyir', 'islam', 'nusantara', 'benci', 'banser', 'amaliah', 'nu', 'anggap', 'bidah', 'ojo', 'nggayanggaya', 'ndadak', 'hashtag', 'link']",sapa hashtag demen serang nu nyinyir islam nusantara benci banser amaliah nu anggap bidah ojo nggayanggaya ndadak hashtag link
<hashtag> ternyata ga jadi menteri karena ga setuju ama reklamasi katanya gugel tapi gw pingin tau dari netijen <hashtag> <hashtag>,hashtag ternyata ga jadi menteri karena ga setuju ama reklamasi katanya gugel tapi gw pingin tau dari netijen hashtag hashtag,hashtag ga menteri ga tuju ama reklamasi gugel gw pingin tau netijen hashtag hashtag,hashtag tidak menteri tidak tuju sama reklamasi gugel gue pengin tau netijen hashtag hashtag,0,"['hashtag', 'tidak', 'menteri', 'tidak', 'tuju', 'sama', 'reklamasi', 'gugel', 'gue', 'pengin', 'tau', 'netijen', 'hashtag', 'hashtag']","['hashtag', 'menteri', 'tuju', 'reklamasi', 'gugel', 'gue', 'pengin', 'tau', 'netijen', 'hashtag', 'hashtag']",hashtag menteri tuju reklamasi gugel gue pengin tau netijen hashtag hashtag
<username> Jangan menyalahkan anies .wg tidak kerja kk d salahkan .yang salah itu yang kerjs,username Jangan menyalahkan anies wg tidak kerja kk d salahkan yang salah itu yang kerjs,username salah anies wg kerja kk d salah salah kerjs,username salah anies wg kerja kakak di salah salah kerjs,1,"['username', 'salah', 'anies', 'wg', 'kerja', 'kakak', 'di', 'salah', 'salah', 'kerjs']","['username', 'salah', 'anies', 'wg', 'kerja', 'kakak', 'salah', 'salah', 'kerjs']",username salah anies wg kerja kakak salah salah kerjs
<username> YUNIKA WULANDARI JAKARTA SELATAN A Anti lengket mudah dibersikan n cepet matang <hashtag> <hashtag> <hashtag> <hashtag>,username YUNIKA WULANDARI JAKARTA SELATAN A Anti lengket mudah dibersikan n cepet matang hashtag hashtag hashtag hashtag,username yunika wulandari jakarta selatan a anti lengket mudah dibersikan n cepet matang hashtag hashtag hashtag hashtag,username yunika wulandari jakarta selatan a anti lengket mudah dibersikan n cepat matang hashtag hashtag hashtag hashtag,0,"['username', 'yunika', 'wulandari', 'jakarta', 'selatan', 'a', 'anti', 'lengket', 'mudah', 'dibersikan', 'n', 'cepat', 'matang', 'hashtag', 'hashtag', 'hashtag', 'hashtag']","['username', 'yunika', 'wulandari', 'jakarta', 'selatan', 'a', 'anti', 'lengket', 'mudah', 'dibersikan', 'n', 'cepat', 'matang', 'hashtag', 'hashtag', 'hashtag', 'hashtag']",username yunika wulandari jakarta selatan a anti lengket mudah dibersikan n cepat matang hashtag hashtag hashtag hashtag
Hatimu panas? Hanguslah persahabatan' 0,Hatimu panas Hanguslah persahabatan 0,hati panas hangus sahabat 0,hati panas hangus sahabat 0,0,"['hati', 'panas', 'hangus', 'sahabat', '0']","['hati', 'panas', 'hangus', 'sahabat', '0']",hati panas hangus sahabat 0
prabowo emg kenamaan di google ... lah banyak yg nyari ... apakah prab terlibat ham ..anak prabowo apkh beneran homo ..jumatan dimana ..itu yg dicari smua org ..pgn tau kbnran ..dan pas tok ketik hasil prabowo ..muncul nyebarin hoax rs,prabowo emg kenamaan di google lah banyak yg nyari apakah prab terlibat ham anak prabowo apkh beneran homo jumatan dimana itu yg dicari smua org pgn tau kbnran dan pas tok ketik hasil prabowo muncul nyebarin hoax rs,prabowo emg nama google yg nyari prab libat ham anak prabowo apkh beneran homo jumat mana yg cari smua org pgn tau kbnran pas tok ketik hasil prabowo muncul nyebarin hoax rs,prabowo memang nama google yang mencari prab libat ham anak prabowo apkh benaran homo jumat mana yang cari semua orang pengin tau kbnran pas tok ketik hasil prabowo muncul nyebarin hoax rs,1,"['prabowo', 'memang', 'nama', 'google', 'yang', 'mencari', 'prab', 'libat', 'ham', 'anak', 'prabowo', 'apkh', 'benaran', 'homo', 'jumat', 'mana', 'yang', 'cari', 'semua', 'orang', 'pengin', 'tau', 'kbnran', 'pas', 'tok', 'ketik', 'hasil', 'prabowo', 'muncul', 'nyebarin', 'hoax', 'rs']","['prabowo', 'nama', 'google', 'mencari', 'prab', 'libat', 'ham', 'anak', 'prabowo', 'apkh', 'benaran', 'homo', 'jumat', 'cari', 'orang', 'pengin', 'tau', 'kbnran', 'pas', 'tok', 'ketik', 'hasil', 'prabowo', 'muncul', 'nyebarin', 'hoax', 'rs']",prabowo nama google cari prab libat ham anak prabowo apkh benar homo jumat cari orang pengin tau kbnran pas tok ketik hasil prabowo muncul nyebarin hoax rs
Anies klaim 73% warga PUAS dengan kinerja Pemprov DKI . Iya Nies puas jadi Korban PHP janji mAnies mu,Anies klaim 73 warga PUAS dengan kinerja Pemprov DKI Iya Nies puas jadi Korban PHP janji mAnies mu,anies klaim 73 warga puas kerja pemprov dki iya nies puas korban php janji manies mu,anies klaim 73 warga puas kerja pemprov dki iya nies puas korban php janji manies mu,1,"['anies', 'klaim', '73', 'warga', 'puas', 'kerja', 'pemprov', 'dki', 'iya', 'nies', 'puas', 'korban', 'php', 'janji', 'manies', 'mu']","['anies', 'klaim', '73', 'warga', 'puas', 'kerja', 'pemprov', 'dki', 'iya', 'nies', 'puas', 'korban', 'php', 'janji', 'manies', 'mu']",anies klaim 73 warga puas kerja pemprov dki iya nies puas korban php janji manies mu
<username> Ini dokter bedah plastik itu ya? Tolong betulin mulutmu dulu baru ngomong,username Ini dokter bedah plastik itu ya Tolong betulin mulutmu dulu baru ngomong,username dokter bedah plastik ya tolong betulin mulut ngomong,username dokter bedah plastik ya tolong betulin mulut mengomong,0,"['username', 'dokter', 'bedah', 'plastik', 'ya', 'tolong', 'betulin', 'mulut', 'mengomong']","['username', 'dokter', 'bedah', 'plastik', 'ya', 'tolong', 'betulin', 'mulut', 'mengomong']",username dokter bedah plastik ya tolong betulin mulut omong
Takbeer ..... Allahu Akbar ... Colosseum .... M a n t a p !! GNPF Ulama Bela Pemprov DKI Soal Penghargaan Diskotek,Takbeer Allahu Akbar Colosseum M a n t a p GNPF Ulama Bela Pemprov DKI Soal Penghargaan Diskotek,takbeer allahu akbar colosseum m a n t a p gnpf ulama bela pemprov dki harga diskotek,takbeer allahu akbar colosseum sama a n t a p gnpf ulama bela pemprov dki harga diskotek,1,"['takbeer', 'allahu', 'akbar', 'colosseum', 'sama', 'a', 'n', 't', 'a', 'p', 'gnpf', 'ulama', 'bela', 'pemprov', 'dki', 'harga', 'diskotek']","['takbeer', 'allahu', 'akbar', 'colosseum', 'a', 'n', 't', 'a', 'p', 'gnpf', 'ulama', 'bela', 'pemprov', 'dki', 'harga', 'diskotek']",takbeer allahu akbar colosseum a n t a p gnpf ulama bela pemprov dki harga diskotek
<username> <username> <username> Cie ... cie ... yg gagal makan lobsterðŸ˜„ðŸ˜„ðŸ˜„,username username username Cie cie yg gagal makan lobsterðŸðŸðŸ,username username username cie cie yg gagal makan lobster,username username username cie cie yang gagal makan lobster,0,"['username', 'username', 'username', 'cie', 'cie', 'yang', 'gagal', 'makan', 'lobster']","['username', 'username', 'username', 'cie', 'cie', 'gagal', 'makan', 'lobster']",username username username cie cie gagal makan lobster
penting banget sumpah ini 7 fakta unik yuni shara . wow ! ternyata yuni suka mandi pakai air anget!!!,penting banget sumpah ini 7 fakta unik yuni shara wow ternyata yuni suka mandi pakai air anget,banget sumpah 7 fakta unik yuni shara wow yuni suka mandi pakai air anget,banget sumpah 7 fakta unik yuni shara wow yuni suka mandi pakai air anget,1,"['banget', 'sumpah', '7', 'fakta', 'unik', 'yuni', 'shara', 'wow', 'yuni', 'suka', 'mandi', 'pakai', 'air', 'anget']","['banget', 'sumpah', '7', 'fakta', 'unik', 'yuni', 'shara', 'wow', 'yuni', 'suka', 'mandi', 'pakai', 'air', 'anget']",banget sumpah 7 fakta unik yuni shara wow yuni suka mandi pakai air anget
<username> Semoga selalu sukses dalam bertugas untuk menjaga pertahanan dan keamanan NKRI <hashtag>,username Semoga selalu sukses dalam bertugas untuk menjaga pertahanan dan keamanan NKRI hashtag,username moga sukses tugas jaga tahan aman nkri hashtag,username moga sukses tugas jaga tahan aman nkri hashtag,0,"['username', 'moga', 'sukses', 'tugas', 'jaga', 'tahan', 'aman', 'nkri', 'hashtag']","['username', 'moga', 'sukses', 'tugas', 'jaga', 'tahan', 'aman', 'nkri', 'hashtag']",username moga sukses tugas jaga tahan aman nkri hashtag
Gue pengen lihat dia terjatuh suatu saat nanti . <hashtag>,Gue pengen lihat dia terjatuh suatu saat nanti hashtag,gue ken lihat jatuh hashtag,gue ken lihat jatuh hashtag,0,"['gue', 'ken', 'lihat', 'jatuh', 'hashtag']","['gue', 'ken', 'lihat', 'jatuh', 'hashtag']",gue ken lihat jatuh hashtag
<username> penghargaan banyak umumkan saja gt saja repot . Paling Pintar dan smart banyak penghargaan saat kerja sekali kali <hashtag> diumumkan gt sebagai penghargaan,username penghargaan banyak umumkan saja gt saja repot Paling Pintar dan smart banyak penghargaan saat kerja sekali kali hashtag diumumkan gt sebagai penghargaan,username harga umum gt repot pintar smart harga kerja kali hashtag umum gt harga,username harga umum begitu repot pintar smart harga kerja kali hashtag umum begitu harga,1,"['username', 'harga', 'umum', 'begitu', 'repot', 'pintar', 'smart', 'harga', 'kerja', 'kali', 'hashtag', 'umum', 'begitu', 'harga']","['username', 'harga', 'repot', 'pintar', 'smart', 'harga', 'kerja', 'kali', 'hashtag', 'harga']",username harga repot pintar smart harga kerja kali hashtag harga
Bukan soal beda pilihan bos !! Soal etika tidak adanya rasa terimakasih terhadap pemerintah yg selama ini terlah banyak berkontribusi untuk kemajuan BL..,Bukan soal beda pilihan bos Soal etika tidak adanya rasa terimakasih terhadap pemerintah yg selama ini terlah banyak berkontribusi untuk kemajuan BL,beda pilih bos etika terimakasih perintah yg ter kontribusi maju bl,beda pilih bos etika terimakasih perintah yang ter kontribusi maju bl,0,"['beda', 'pilih', 'bos', 'etika', 'terimakasih', 'perintah', 'yang', 'ter', 'kontribusi', 'maju', 'bl']","['beda', 'pilih', 'bos', 'etika', 'terimakasih', 'perintah', 'ter', 'kontribusi', 'maju', 'bl']",beda pilih bos etika terimakasih perintah ter kontribusi maju bl
Ayo pak polisi cepat umumkan aktor intelektual & penyokong dana demo ricuh <hashtag>,Ayo pak polisi cepat umumkan aktor intelektual penyokong dana demo ricuh hashtag,ayo polisi cepat umum aktor intelektual sokong dana demo ricuh hashtag,ayo polisi cepat umum aktor intelektual sokong dana demo ricuh hashtag,0,"['ayo', 'polisi', 'cepat', 'umum', 'aktor', 'intelektual', 'sokong', 'dana', 'demo', 'ricuh', 'hashtag']","['ayo', 'polisi', 'cepat', 'aktor', 'intelektual', 'sokong', 'dana', 'demo', 'ricuh', 'hashtag']",ayo polisi cepat aktor intelektual sokong dana demo ricuh hashtag
<hashtag> Pohon tidak ditebang untuk Formula E tapi TETAP DITEBANG untuk REVITALISASI . MONAS tetap jadi gundul,hashtag Pohon tidak ditebang untuk Formula E tapi TETAP DITEBANG untuk REVITALISASI MONAS tetap jadi gundul,hashtag pohon tebang formula e tebang revitalisasi monas gundul,hashtag pohon tebang formula e tebang revitalisasi monas gundul,1,"['hashtag', 'pohon', 'tebang', 'formula', 'e', 'tebang', 'revitalisasi', 'monas', 'gundul']","['hashtag', 'pohon', 'tebang', 'formula', 'e', 'tebang', 'revitalisasi', 'monas', 'gundul']",hashtag pohon tebang formula e tebang revitalisasi monas gundul
Halo semuanya~ Veneta System lagi butuh <hashtag> ni Silahkan drop CV nya bagi yang berminat . Full Time kantornya ada di daerah mangga dua ðŸ˜‰ Ditunggu ya ^^ <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <link>,Halo semuanya Veneta System lagi butuh hashtag ni Silahkan drop CV nya bagi yang berminat Full Time kantornya ada di daerah mangga dua ðŸ Ditunggu ya hashtag hashtag hashtag hashtag hashtag hashtag hashtag link,halo veneta system butuh hashtag ni silah drop cv nya minat full time kantor daerah mangga  tunggu ya hashtag hashtag hashtag hashtag hashtag hashtag hashtag link,halo veneta system butuh hashtag nih silah drop cv ya minat full time kantor daerah mangga tunggu ya hashtag hashtag hashtag hashtag hashtag hashtag hashtag link,0,"['halo', 'veneta', 'system', 'butuh', 'hashtag', 'nih', 'silah', 'drop', 'cv', 'ya', 'minat', 'full', 'time', 'kantor', 'daerah', 'mangga', 'tunggu', 'ya', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'link']","['halo', 'veneta', 'system', 'butuh', 'hashtag', 'nih', 'silah', 'drop', 'cv', 'ya', 'minat', 'full', 'time', 'kantor', 'daerah', 'mangga', 'tunggu', 'ya', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'link']",halo veneta system butuh hashtag nih silah drop cv ya minat full time kantor daerah mangga tunggu ya hashtag hashtag hashtag hashtag hashtag hashtag hashtag link
<username> <username> <username> <username> Mantap bro aq stuju .,username username username username Mantap bro aq stuju,username username username username mantap bro aq stuju,username username username username mantap bro aku setuju,0,"['username', 'username', 'username', 'username', 'mantap', 'bro', 'aku', 'setuju']","['username', 'username', 'username', 'username', 'mantap', 'bro', 'setuju']",username username username username mantap bro tuju
Saat sadar orang berbuat sopan saat tidak sadar jadi tidak sopan sontoloyo,Saat sadar orang berbuat sopan saat tidak sadar jadi tidak sopan sontoloyo,sadar orang buat sopan sadar sopan sontoloyo,sadar orang buat sopan sadar sopan sontoloyo,0,"['sadar', 'orang', 'buat', 'sopan', 'sadar', 'sopan', 'sontoloyo']","['sadar', 'orang', 'sopan', 'sadar', 'sopan', 'sontoloyo']",sadar orang sopan sadar sopan sontoloyo
Indonesia butuh Presiden bukan tukang lenong & tukang pijit <hashtag>,Indonesia butuh Presiden bukan tukang lenong tukang pijit hashtag,indonesia butuh presiden tukang lenong tukang pijit hashtag,indonesia butuh presiden tukang lenong tukang pijit hashtag,1,"['indonesia', 'butuh', 'presiden', 'tukang', 'lenong', 'tukang', 'pijit', 'hashtag']","['indonesia', 'butuh', 'presiden', 'tukang', 'lenong', 'tukang', 'pijit', 'hashtag']",indonesia butuh presiden tukang lenong tukang pijit hashtag
<username> Pada keseleq kursi .... ðŸ¤£ðŸ¤£ <hashtag>,username Pada keseleq kursi ðŸðŸ hashtag,username keseleq kursi  hashtag,username keseleq kursi hashtag,0,"['username', 'keseleq', 'kursi', 'hashtag']","['username', 'keseleq', 'kursi', 'hashtag']",username keseleq kursi hashtag
MAR ingatkan kader <username> jgn hnya kejar dunia <username> <username> <username> <username> <username> <link>,MAR ingatkan kader username jgn hnya kejar dunia username username username username username link,mar ingat kader username jgn hnya kejar dunia username username username username username link,mar ingat kader username jangan hanya kejar dunia username username username username username link,0,"['mar', 'ingat', 'kader', 'username', 'jangan', 'hanya', 'kejar', 'dunia', 'username', 'username', 'username', 'username', 'username', 'link']","['mar', 'kader', 'username', 'kejar', 'dunia', 'username', 'username', 'username', 'username', 'username', 'link']",mar kader username kejar dunia username username username username username link
Jancuk sarkasme keren wkwk <link>,Jancuk sarkasme keren wkwk link,jancuk sarkasme keren wkwk link,jancuk sarkasme keren wkwk link,0,"['jancuk', 'sarkasme', 'keren', 'wkwk', 'link']","['jancuk', 'sarkasme', 'keren', 'wkwk', 'link']",jancuk sarkasme keren wkwk link
hebat kamu mbak sudah memikirkan,hebat kamu mbak sudah memikirkan,hebat mbak pikir,hebat mbak pikir,0,"['hebat', 'mbak', 'pikir']","['hebat', 'mbak', 'pikir']",hebat mbak pikir
<username> Hanya ada di Rezim sontoloyo,username Hanya ada di Rezim sontoloyo,username rezim sontoloyo,username rezim sontoloyo,0,"['username', 'rezim', 'sontoloyo']","['username', 'rezim', 'sontoloyo']",username rezim sontoloyo
<username> <username> tangkap tukang nyinyir Pak,username username tangkap tukang nyinyir Pak,username username tangkap tukang nyinyir,username username tangkap tukang nyinyir,0,"['username', 'username', 'tangkap', 'tukang', 'nyinyir']","['username', 'username', 'tangkap', 'tukang', 'nyinyir']",username username tangkap tukang nyinyir
Kadrunnya cuma 3% saja . Alhamdulilah Ã°Å¸â„¢ÂÃ°Å¸â„¢ÂÃ°Å¸â„¢Â <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <hashtag> <link>,Kadrunnya cuma 3 saja Alhamdulilah ÃÅâÂÃÅâÂÃÅâÂ hashtag hashtag hashtag hashtag hashtag hashtag link,kadrunnya 3 alhamdulilah  hashtag hashtag hashtag hashtag hashtag hashtag link,kadrunnya 3 alhamdulilah hashtag hashtag hashtag hashtag hashtag hashtag link,0,"['kadrunnya', '3', 'alhamdulilah', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'link']","['kadrunnya', '3', 'alhamdulilah', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'hashtag', 'link']",kadrunnya 3 alhamdulilah hashtag hashtag hashtag hashtag hashtag hashtag link
<username> <username> <username> <username> Dasar kamu min ðŸ™ƒ,username username username username Dasar kamu min ðŸƒ,username username username username dasar min ,username username username username dasar min,0,"['username', 'username', 'username', 'username', 'dasar', 'min']","['username', 'username', 'username', 'username', 'dasar', 'min']",username username username username dasar min
mengaku lah kalah masalah selesai . tirulah mertua bapak <username> <hashtag> <hashtag> <hashtag>,mengaku lah kalah masalah selesai tirulah mertua bapak username hashtag hashtag hashtag,aku kalah selesai tiru mertua username hashtag hashtag hashtag,aku kalah selesai tiru mertua username hashtag hashtag hashtag,0,"['aku', 'kalah', 'selesai', 'tiru', 'mertua', 'username', 'hashtag', 'hashtag', 'hashtag']","['kalah', 'selesai', 'tiru', 'mertua', 'username', 'hashtag', 'hashtag', 'hashtag']",kalah selesai tiru mertua username hashtag hashtag hashtag
Padahal udh masuk <hashtag> tapi gabener oversmart koq masih aja <hashtag> dan kacung2nya ribut belain kayak <hashtag>,Padahal udh masuk hashtag tapi gabener oversmart koq masih aja hashtag dan kacung2nya ribut belain kayak hashtag,udh masuk hashtag gabener oversmart koq aja hashtag kacung2nya ribut bain kayak hashtag,sudah masuk hashtag gabener oversmart kok saja hashtag kacung2nya ribut bain kayak hashtag,0,"['sudah', 'masuk', 'hashtag', 'gabener', 'oversmart', 'kok', 'saja', 'hashtag', 'kacung2nya', 'ribut', 'bain', 'kayak', 'hashtag']","['masuk', 'hashtag', 'gabener', 'oversmart', 'hashtag', 'kacung2nya', 'ribut', 'bain', 'kayak', 'hashtag']",masuk hashtag gabener oversmart hashtag kacung2nya ribut bain kayak hashtag
Beri tangguhlah barang sesaat .. Sama sama kita saksikan mana Jihad Fi' Sabilillah .. Jihad di jalan Allah dengan Jihad di jalan Ks Tubun !!! <hashtag> <hashtag> <hashtag>,Beri tangguhlah barang sesaat Sama sama kita saksikan mana Jihad Fi Sabilillah Jihad di jalan Allah dengan Jihad di jalan Ks Tubun hashtag hashtag hashtag,tangguh barang saksi jihad fi sabilillah jihad jalan allah jihad jalan ks tubun hashtag hashtag hashtag,tangguh barang saksi jihad di sabilillah jihad jalan allah jihad jalan ks tubun hashtag hashtag hashtag,0,"['tangguh', 'barang', 'saksi', 'jihad', 'di', 'sabilillah', 'jihad', 'jalan', 'allah', 'jihad', 'jalan', 'ks', 'tubun', 'hashtag', 'hashtag', 'hashtag']","['tangguh', 'barang', 'saksi', 'jihad', 'sabilillah', 'jihad', 'jalan', 'allah', 'jihad', 'jalan', 'ks', 'tubun', 'hashtag', 'hashtag', 'hashtag']",tangguh barang saksi jihad sabilillah jihad jalan allah jihad jalan ks tubun hashtag hashtag hashtag
Aku tidak peduli kalaupun harus mati ketika berjuang meraih mimpiku . Aku tidak akan menyesalinya .,Aku tidak peduli kalaupun harus mati ketika berjuang meraih mimpiku Aku tidak akan menyesalinya,peduli mati juang raih mimpi sesal,peduli mati juang raih mimpi sesal,0,"['peduli', 'mati', 'juang', 'raih', 'mimpi', 'sesal']","['peduli', 'mati', 'juang', 'raih', 'mimpi', 'sesal']",peduli mati juang raih mimpi sesal
