steming_data,Sentiment
tempe setip atm konsultan asing erti,Negatif
pintar tuh gerombol drun,Negatif
cerdaaas untung kenal tanda tanda ketidakbecusan username pimpin jakarta hashtag,Negatif
bela agama bela prabowo tinggal bela sungkawa hashtag,Negatif
bangun tol pakai uang situ hilih,Negatif
darah merah jenderal mu bunuh temu hashtag hashtag,Negatif
alhamdulillah nemu proyek eang bwat bantu ngabisin anggar program kembar sial oke oce hanyut bawa banjir lancar proyek bahagia pemprop ya alhamdulillah hashtag,Negatif
kagum anies moga tenggelam,Negatif
moga baca elit politik bpn jajar dukung prabowo mangkir fakta dalang,Negatif
terima kasih username kendali sebak salim jakarta sebak rembet hashtag,Negatif
bayar adil nilai harga beli anggap murah paham,Negatif
hashtag 02022020 haya ken ngucapain selamat yth anis jakrta bikin hashtag impor bogor selamat selamat,Negatif
mantap nih ketua dewasny username semangat lindung koruptor,Negatif
satusatunya prestasi jokowi jabat kagum jabat ri1 terima kasih pimpin harap periode,Negatif
rakyat pintar koalisi busuk 02 hoax ya,Negatif
partai allah butuh kursi ikhlas heuheuheuheu,Negatif
username tolong tuhan anies baswedan jawa,Negatif
usaha ya alamat cuman ntuh kantor kagak lihat mata rang kagak iman hashtag,Negatif
username cinta om anies langgar hukum,Negatif
hei username jujur puisi hina ulama malu kau,Negatif
jakarta berkah moga berkah hashtag,Negatif
sukses username mencptakan water park dki sayang ya ambil air kafirjadi ya iman liar kemana2 tunggu bacot username punggung tangan jari telunjuk arah kiri hashtag,Negatif
muka agama tawadhu ngeles sesal urat malu sayang hashtag hashtag,Negatif
retweet ah prestasi anak bangsa kampret kejang kejang ya,Negatif
salah prestasi anies cipta lokasi surfing jalan kota,Negatif
selamat keras sepakbola indonesia takut hashtag,Negatif
alhamdulillah kelompok positif diskotik moga razia ilegal diskotik kelompok,Negatif
terimakasih anies hebat tertawa moga umur sehat ya amin,Negatif
alhamdulillah ya fasilitas iman ahok kolam renang dasar tapir,Negatif
username pintar banget sih fnc pintar bikin dompet kempes,Negatif
pilih 01 pakai jalan tol ya bayar pajak tunggu ganti presiden,Negatif
berkah moga toanya banjir hashtag,Negatif
lihat dukung lihat mimpi pimpin munafik dukung,Negatif
dongarians nih suka lupa jumat tugas t t modem lelet mintak bacok,Negatif
soeharto berani bantai 3 juta rakyat indonesia surabaya berani bantai fpi dududuuduuu,Negatif
preman pintar provokator kayak kau,Negatif
urus negara indonesia konsep alam hashtag,Negatif
masjid ibadah ya jumat mah pakai undang undang jumat nih jumat asa kayak kondangan,Negatif
keren bahasanyakoruptor bilang maling rampok username,Negatif
positif lucinta luna,Negatif
masuk bui demo ya buni yani pasuk penjara hashtag,Negatif
pintar anies warga jakarta bego begoin tuhan bego begoin sih anieshahahahahahaha,Negatif
bangun tol terus presiden2 sembrono bangun uang sih jae,Negatif
sibuk bangun jalan tol lupa bangun jalan pikir,Negatif
anies kebal hukum kunci syurga anies tonjol satudia bodo,Negatif
pilih 02 kubu tahana main sportif selamat jalan username team kerja,Negatif
alhamdulillah diskotik syarie colosseum kulsum moga jakarta barokah bersyariah lastcar beib username bonus khusus latih bidadari,Negatif
om hashtag ngmusik yuk suka republik cinta management artis artis kapai politik ujung ya masuk bui hashtag,Negatif
terima kasih username orang sakit sengsara cc username hashtag,Negatif
cinta jokowi sayang citra,Negatif
astaga prabowo capres hasil ijtima ulama lho jumat hashtag,Negatif
horeeee mantaaab sepak terjang bejat andre jebak nn seret meja hijau dukung nn hashtag,Negatif
sungguh mulia ustadz santri fit tahan begadang mikir cepat gacor sabu santri sabu haram larang alquran malaikat mukar nakir malaikat malik sabar temu beliau,Negatif
2 minggu kkn 2 minggu makan tempe tempe setip atm alay banget pakk lebihkann banget,Negatif
pintar banget anies motong anggar banjir aibon,Negatif
hidup presiden jokowi berangus senimanseniman kontrarevolusi mental,Negatif
selamat indonesia orang kayak takut miskin orang miskin takut kayak,Negatif
adab silap hashtag,Negatif
bicara beda negara maju negara miskin bantu perintah belot,Negatif
solak solak username tanggung,Negatif
berkah pusing cari nafkah uang rumah banjir kacau nih gabeneerhashtag,Negatif
program naturalisasi sungai anies baswedan hasil bukti banjir 2020,Negatif
ya anies usaha pecah rekor dunia lempar tanggung pegang juara tahan mohon dukung,Negatif
laain tanam pohon tebang pohon pintar sih urus serap anggar hashtag hashtag hashtag hashtag,Negatif
hai username video keren loh langsung trending ditiktok ya partai allah bikin goyaaaaaaang kuyyyyyyy,Negatif
makmur stres ya hashtag,Negatif
berani lawan opm berani bubarin aji ust felix,Negatif
kota urus ahli tata username mending pindah hashtag,Negatif
beli goreng 80juta kenyaaang v hashtag,Negatif
bandung geografis libat keras aparat gusur username username username hashtag,Negatif
plus62 hebat hashtag,Negatif
prabohong hadir raya merdeka ke69 republik rakyat cina rrc gelar duta rrc prabohong pandang china indonesia nahkann wujud prabohong pro asing,Negatif
terimakasih anies baswedan kantor ku kolam renang huaaaahhh senang,Negatif
bahagia tipu hebat hebat dungu hashtag hashtag,Negatif
sungguh hati mulia kau mas jomblo,Negatif
sosialita butuh rakyat susah hashtag hashtag hashtag hashtag,Negatif
welcome indonesia tutup uang,Negatif
alhamdulillah berkah syukur berkat pintar username doa username hashtag,Negatif
username mantapbos jubir singkron nichsatu bilang a bilang b,Negatif
garagara orang budi pekerti gunung laut jual hashtag hashtag hashtag hashtag hashtag hashtag hashtag hashtag lhokseumawe,Negatif
bela anies tim buzzer 5m update coba otak kanan otak kiri pakai baca nih update kibul gubernur idola what next tunggu episode hashtag,Negatif
pintar banget sih mbak hancur mood,Negatif
menang curang hashtag,Negatif
astaghfirulah prabowo jumat pilpres p hashtag,Negatif
wooww aksi jaman ahok serba buka transparan sih beda pimpin beda gaya gue pikir selamat mental anti transparansi username hashtag,Negatif
dar username orang anggap ayah dukung puji balas lupa hati,Negatif
indonesia tahi anjing trending,Negatif
allahuakbar username bangga senang lihat monas air kolam jakarta bangga umat monaslimin hashtag,Negatif
aibon salah ketik bolpoin salah input harga diskotek colosseum salah kad rekomendasi formula e salah ketik salah otak tuh,Negatif
ah gawat serang jantung komunikasi keluarga ah tinggal duluan pasien,Negatif
gubernur banjir harga masyarakat banjir air hashtag,Negatif
username username username atur allah laku negara allah laku atur nyi roro kidul,Negatif
pimpin hati nurani ambisi pribadi,Negatif
subhanallah dengar narasi anies baswedan kampanye innalillahi wainna ilaihi rojiun gubernur kolam jakarta luas sisa sesal hashtag,Negatif
lepas hashtag hashtag generasi muda mikir saing industri 4 0 bacot sosmed doang,Negatif
anies baswedan lengkap prestasi gubernur bodoh versi google gubernur buruk versi survey pribadi nilai beliau gubernur tau malu,Negatif
selamat indonesia lengah milik perintah rakyat larat salah ubah,Negatif
kerja gubernur jakarta mudah banget pakai mikir coy hashtag,Negatif
orang pintar kalah nafsu dunia hashtag,Negatif
jumat nyebar undang mah imam shalatnya cuman makmum special,Negatif
username keren koruptor pensiun salam akal sehat,Negatif
alangkah hoax center program center programprogram nih cuman sensasi,Negatif
terbaikk hashtag,Negatif
wow buka salak setrika baju berita faedah hashtag,Negatif
salah gubernur iman ya beliau senyap salah hujan ya suruh henti air ya antri masuk lobang hashtag,Negatif
hahahah 1 6 apaapa hotel prodeo sikap gentlemen jngncengeng hashtag,Negatif
lihat umat begini kasihan lihat bahagia ya hashtag hashtag hashtag,Negatif
naturalisasi potong anggar banjir jalan pemprop dki hasilnnya mengembirakan dki pimpin anies baswedan swasembada air limpah ruah,Negatif
username bahadur bangsa bangsa partai demokrat pks pdip komnas perempuan konserpatip libural eta min anti elit2 parpol golput lawan diahahahahaha,Negatif
username welcome indonesia orang hina presiden coba negara orang bgst mati,Negatif
abang rizal ramli omong terang akal banget ilc ya situ mantan wapres mantan menteri menteri jabat pintar pakai,Negatif
username tito tolong kawal jakarta uang rakyat hambur,Negatif
amien rais temu rizieq arab saudi fadli ya bagus bagus laku kriminal,Negatif
oh produk produk hashtag dasar akal akal sih kismin,Negatif
tahan gar lurus oposisi kolam hashtag,Negatif
nikmat warga jakarta cuman selamat nikmat banjir berkah berkah air bahagia centeng ya hashtag,Negatif
woooiiistop bully wan abut gabener jkt58 beliau tau hashtag,Negatif
sanjung hashtag jatah tri sanjung ya bentar bentar bego sih,Negatif
wan ajaib ajaib anggar muncul masuk akal dukung puja puji kayak gub presiden bocor bocor bocor hashtag,Negatif
username laku kayak ardi bakrie harap cewek kayak nia ramadhani,Negatif
mulia bapak2 beres bangku rapat,Negatif
alhamdulillah positif hashtag positif konsumsi narkoba,Negatif
maksud ruang buka kasih beton cat hijau kali indonesia kudu angkuh super intelek kayak logika hashtag,Negatif
pingiiiiinn banget lihat sih zonk kena batu keji banget perangai sifat,Negatif
koalisifitnah sistematis massif jatuh jokowi percaya wakil hashtag,Negatif
kah calon presiden moga gagal 2 periode amiiiiinnnn hashtag,Negatif
saksi sejarh adab bangsa indonesia capres abadi jumat koar tebar undang percaya masuk worldrecord wkwk,Negatif
doa tukar ajar,Negatif
dukung serah buka presiden presiden angkat bisnis nama,Negatif
alhamdulilah ya banjir halal santun hashtag hashtag hashtag,Negatif
tagar ubah muak lihat,Negatif
siasia kerja anies laksana banjir dimanamana,Negatif
partai allah mah manasuka sajadah diinjak2 hashtag,Negatif
mantulll jakarta pilih hashtag fatal,Negatif
bukti sikap agung kalian2 bikin onar tukang hoax fitnah aparat sadar malu amien rais hashtagyutliputalapan added bareskrim polri,Negatif
alangkah masuk akal ratna sarumpaet produksi berita bohong struktur,Negatif
banjir kota berkah warga limpah ruah air banjir toa 4 milyarnya suaranyaaa hashtag,Negatif
8 aman gengsi kejar runner up barat hashtag,Negatif
username username celana cingkrang amp cadar larang anti khilafah fitnah radikal eh dana haji amp zakat ya diincer waras tuh username username,Negatif
username gelar dokter usia dewasa bodoh picik,Negatif
tampan hantam muka hashtag,Negatif
sukses anies jual isu sara surat terang warga nonpribumi wajib bayar iur kali lipat bangun lurah hashtag username,Negatif
bangga gubernur ku beliauuuu kerja keras ya jakarta jaga jakarta swasembada air semangat wujud jakarta tajuk formula empang ya sunnatullah lawan hashtag,Negatif
selamat anies baswedan rubah kota sungaisungai,Negatif
jujur salut kader2 partai amarah nasional juang berdarahdarah gws ya om username,Negatif
pindah dagang ah dagang politik malas ah,Negatif
nama partai demokrat sikap ya otoriter menang au ah gelap hashtag hashtag,Negatif
username keren koruptor pelihara hashtag,Negatif
ekspor ganja pks islami ya hehe nih suara bakul ayat bakul agama diam hashtag,Negatif
ayo warga jakarta berterimakasih gubenur anies gudang selesai banjir,Negatif
capres 02 ya giat jauhjauh marahmarah katai orang hmmm hashtag,Negatif
username username program wisata halal pemprof dki wisata diskotik minum zam zam,Negatif
ayo budal jakarta mumpung enek diskotik bersyariah kawal gmnf ulama,Negatif
brsumpah alquran percaya allah maha maha mndengar korupsi nista alquran korupsi nista,Negatif
jaman ahok kpk rajin nyadap harap ott ahok prestasi tuh jaman anies aneh reklamasi monas aibon dll kpk diam bae nyadap khawatir anies kena ott heboh tuh hhhh hashtag,Negatif
pakai 2 produk lokal tinggal 1 hashtag serangga congkak sedih,Negatif
username username username username username wkwk yth dokter tompi akil kandang keledai,Negatif
manies banget cakap ya hashtag,Negatif
welcome indonesia netizen suka nyinyir tranding,Negatif
saraswati pintar tida ajar alam hufffffffffffff,Negatif
jujur malu salah jkw sulit laku,Negatif
astagfirullah medina zein pakai narkoba kaget pakai narkoba ya kaget medina zein,Negatif
ngantornya jalan tol balaikota bikin perintah jokowi lho,Negatif
username tolong dpr kasih kuliah khusus menag biar bikin ribut mulu,Negatif
selamat nikmat berkah warge jakarte terimakasih juge ame username hashtag oke tuh wkwkwkwkwkw aye mah ogah banjir biar negara utang aye bayar,Negatif
welcome indonesia orang lengah malu sangka bahan dunia dosa hei dosa beda ladang dosa,Negatif
untung ane mahasiswa monyet malu banget mahasiswa,Negatif
pengin dengar tanggap abang pandji nih ayok bikin video abang betapa lucu negeri username hashtag,Negatif
username alhamdulilah jakarta gubernur santuy rendah hati ustad aa gym ayo lanjutken 3 periode,Negatif
username kepala kau sholehmati kau bodoh emosi indonesia kau eee hashtag,Negatif
kali atmosfir debat capres indonesia kalah atmosfir final bola piala dunia jancok hashtag hashtag,Negatif
welcome indonesia diversity lihat valentine mampus mati,Negatif
susah orang pintar mah hashtag,Negatif
jaangan entar waras diam biar otak kayak kampret hashtag,Negatif
mending usaha negara ancooor hashtag,Negatif
air masuk mall shopping kali ya santun banget ya hashtag hashtag hashtag,Negatif
alhamdulillah nama berkah lari moga toa ya fungsi pasang toa ya rumah joget bareng hashtag banjir jilid 2 hashtag trending twitter,Negatif
harga apresiasi dengar diskotek ken hashtag lho mah kagak kenal beliau,Negatif
banjir air berkah suka silah minggat jakarta rangorang mati bain warga dki biar hak tuduh enggak2 kadrun kadrun hashtag,Negatif
moga sehat walafiat mbah kakuunggg hashtag,Negatif
sukses hashtag dokumentasi daerah alami azab pimpin iman akibat musibah hashtag,Negatif
pangkat nyawa kawan beli gaji umur hidup hashtag hashtag,Negatif
fakultas dokter awat jogja biangeeet imbang tim medis buuaanget,Negatif
tuhan meciptakan manusia unik letak orang moga lekas sadar ya hashtag,Negatif
ajar orba proyek bangun mangkrak pilih pimpin ahli,Negatif
benarbenar parpol penuh semangat latih lempartangkap kursi iring musik mars gempita penuh gairah olahraga mbah amin kartel nama bawang,Negatif
username username nizar pintar hasut wkwkwkwkwk,Negatif
mari sambit artis nyokap kota cinta sembah umat jeng jeng hashtag hashtag,Negatif
sistem perintah ubah presidensial menterisial hashtag,Negatif
takut banjir orang jakarta latih anggap berkah imlek pegang toa teriak banjir banjir ayo ngopi bareng lantai tunggu antri air masuk tanah hashtag,Negatif
username salah anies wg kerja kakak salah salah kerjs,Negatif
prabowo nama google cari prab libat ham anak prabowo apkh benar homo jumat cari orang pengin tau kbnran pas tok ketik hasil prabowo muncul nyebarin hoax rs,Negatif
anies klaim 73 warga puas kerja pemprov dki iya nies puas korban php janji manies mu,Negatif
takbeer allahu akbar colosseum a n t a p gnpf ulama bela pemprov dki harga diskotek,Negatif
banget sumpah 7 fakta unik yuni shara wow yuni suka mandi pakai air anget,Negatif
username harga repot pintar smart harga kerja kali hashtag harga,Negatif
hashtag pohon tebang formula e tebang revitalisasi monas gundul,Negatif
indonesia butuh presiden tukang lenong tukang pijit hashtag,Negatif
terima kasih indonesia team main top legen peluang raja malaysia angkat piala harini,Negatif
anies baswedan janji sedia kolam warga jakarta bilang anies becus kerja coba sentil hidung wkkwkwk,Negatif
tuan username suka hina kyai suka bohong info hoax sarumpaet sih hashtag,Negatif
nu klaim wakil segenap ummat muslim nu klaim orang percaya,Negatif
sejarah dki berkat gabener iman sinden hashtag hashtag,Negatif
warbiyasak gabener hashtag sejarah catat 2020 januaryfebruari 6x banjir kalah demo berjilidjilid ituwajah seringai gubernur daerah saing prestasi bliyo username,Negatif
indonesia unggul esemka romo pas kampanye beliau sih zaman hehe maaf hashtag,Negatif
username username bangga alumni ugm jokowi malu alumni ugm anies amien paham,Negatif
terima kasih gub anies sadar kerja gubernur dki mudah teori nyata harap semangat buang ego hebat hasil pabila kerja,Negatif
benarbenar ide brilian out of the box monas kolam raksasa luas lapang bola gabener wan abud tangkap air hujan wilayah jakarta wisata halal ala kadrun hashtag,Negatif
selamat malam rakyat negara bangun sembuh sakit kamipolitiken,Negatif
berkat program toa jakarta banjir lelep hashtag,Negatif
oh jokuwi pakai consultant negeri ngakuin tolol dungu dunia,Negatif
barusan ecek jakarta rugi pentol bertanggungjawab suruh omong hoax habis2 hashtag hashtag,Negatif
mulia elit politik sungkan tumpuk kursi mudah eo ruang,Negatif
gubernur santun hebat pandai iya hashtag,Negatif
lem aibon 82 8 pulpen 124 jamban 166 jalur sepeda 73 selamat rakyat jkt58 gubernur binasa nikmat kerja gubernur mabok hashtag hashtag,Negatif
sandiaga uno janji program kartu jakarta jomblo sandi maju cawapres kartu wujud dasar hoak nipu masyarakat,Negatif
luwar gubernur iman gelar ph negeri mantan rektor paramadina mantan tri didik hasil senang anak hadir kolam renang warga erti ora bong hashtag,Negatif
untung bukalapak keluarga uninstallbukalapak,Negatif
manusia angkuh sombong berani rendah ulama nu orang lugu erti bahsa ambigu,Negatif
gila gila gila keren keren keren rakyat hajar habis habis koruptor biar liar tumbuh 7 tumbuh koruptor,Negatif
pintar banget sih suruh bolak fakta ajar,Negatif
pimpin jakarta sih anies alhamdulillah amanah kolam banjir,Negatif
iblis2 sidang istimewa bahas duduk turun derajat oknum wakil rakyat hina ulama,Negatif
aksi uninstallbukalapak tolol sikap protes attitude buruk username tolol orang bela attitude buruk,Negatif
juara bohong hashtag,Negatif
username mulia mu nak nyesal gugurin,Negatif
username gabener tata iya hashtag hashtag,Negatif
wooww hidup syekali dukung prabohong paksa doktrin pilih sih wowo takut ya 2019 kalahlagi hashtag,Negatif
bahagia ya iman hashtag,Negatif
teu keren maha atuh nguruskeun hirup batur hashtag hashtag hashtag hashtag hashtag,Negatif
prabohong pidato lantang lupa isi karuan alias kacau,Negatif
caci jelek rangkul hashtag,Negatif
indonesia daya tolak damai tolak nkri pancasila hashtag,Negatif
banjir hujan banjir anggar jalan iring nikmat pilih pimpin,Negatif
nih nih gua suka capek kadang 2 kubu jatuh terus2 an sindir twitter,Negatif
nelayan berangkat laut malam siang jam 12 malam pergi supir pantai temu ya nama bohong pangkat 12,Negatif
username kayak pintar banget dokter nyusun rapbd hashtag,Negatif
negara keren koruptor pilih rakyat bhahahak,Negatif
banjir ngutang katenye anggar bocor genteng bocor genteng kagak bocor sih rumah nyilem hashtag,Negatif
ratus anak pintar cari alesan,Negatif
sih buniyani makan omong dasar buniyani bodoh,Negatif
polisi polisi tidur hashtag hashtag,Negatif
anies pintar live ig banjir pr,Negatif
dki banjir ya abang2 jawara banjir berkah selamat warga dki berkah air limpah selamat ya selamat username toa 4 milyar berkah petik situ hashtag,Negatif
aduh pencet rekor utang roket p p,Negatif
abang username demo turun jalan banjir berkah yaudah biar nikmat hashtag,Negatif
aibon alpa ketik bolpoin alpa input harga diskotek colosseum alpa kad rekomendasi formula e alpa ketik alpa otak tuh,Negatif
medan gera hashtag gaya ya mantan peduli,Negatif
gue terinsipirasi kondisi indonesia film olympus has fallen edan hashtag hashtag hashtag,Negatif
02 hadiah pas milu 2014 hashtag,Negatif
terima kasih anies hasil naturalisasi,Negatif
santun bohong hashtag,Negatif
username terima kasih jkt58 username berkah politisasi ayat mayat hashtag,Negatif
sih usaha muda alam hashtag,Negatif
sabar april 2019 hashtag,Negatif
username mulia otak cepat rusak jarang halo username,Negatif
uji sekolah mentingin hasil jujur hashtag,Negatif
ya amatir mahir manipulasi semahir2 ya tupai lompat jengkang hashtag hashtag,Negatif
syukur banjir libur anies gubenur sholeh doa senin selasa rabu wakil ketua bamus betawi rahmat hs woyy selasa bngst hashtag,Negatif
username keren banget tuntut partai bobrok serang anies biar hasto mbak mega aman ya mbak paw harun tanda tangan uang wahyu hasto hasto darimana coba hehe,Negatif
lucu nama ondel2 betawi lucu nama wan aibon kota banjir pohon dicabutin hashtag,Negatif
welcome indonesia copy paste lumrah,Negatif
butuh pimpin sungguh boneka hashtag,Negatif
tuan username yth ya mobil kerendem air iman jaman ahok warga lingkung lupa tuh nama banjir selamat eh selamat tidur,Negatif
rejim 34 tri 12 wamen 8 jabat tingkat tri dukung 14 stafsus 7 staf milenial sokong ksp amp jubir istana tatar 6 bpip nasehat 9 wantimpres riuh tim hore buzzer pro indonesia hancur,Negatif
hashtag boikotsariroti ajar dukung capres indonesia fanatik ketawa bahagia eh antem wkwk,Negatif
mulia bapakbapak rebut kursi kursi,Negatif
coba pakai akal sehat ya deh jargon kis kip masyarkat 60 juta masyarakat indonesia 60 juta miskin sambung,Negatif
plus62 panas hashtag,Negatif
pilih junjung silah hengkang indonesia p,Negatif
kopi haram korupsi seni,Negatif
ibadah panggil hati pangilan capres,Negatif
presiden jokowi 4nies keruk waduk banjir 4nies suruh keruk waduk keruk anggar terlaluuuu username hashtag,Negatif
ijtima ulama paham basic islami hashtag,Negatif
username nyanyia merdu ketimbang omong kerja anis,Negatif
information center informasi real kait produk program hashtag informasi hoax hoax ya kuat tanding sadeeessshhhh,Negatif
bilang pilih pimpin milik alam amatir hashtag,Negatif
jumat biar umat nabi muhammad biar anggota dukung partai situ sehat,Negatif
terimakasih wowo terang kiblat barat debat pimpin negeri,Negatif
beda pilih calon presiden akur teman tetangga keluarga laku negara kembang,Negatif
username gubernur ane warbiasa kosakata pakai langsung diturunken anak buah ya abai faham hashtag,Negatif
psi pdip terang2an tolak perda syariah kencang teriak pancasila hashtag,Negatif
aa doa wan abut gubernur lelah rusak jakarta hashtag,Negatif
kemarin bilang antek asing dukung orang asing negara cina weh weh ngomul mulu sih ommm gendut pimpin bikin hoax ya aneh,Negatif
username alhamdulillah positif lucinta luna,Negatif
username adem solo habitat mu,Negatif
username anies tuh hebat bikin banjir sih,Negatif
wow keren mental koruptor,Negatif
hasil itjima ulama agama nihil orang username hina ulama puisi kubu belah rusak username username username username hashtag hashtag hashtag hashtag,Negatif
ciyee tani bawang nih ya sandiwara fazdlizonk muluu,Negatif
username wuih capres keren pakai jas besok pilih deh pakai jas,Negatif
username welcome indonesia sedih banget adaaa hukum laku bullying,Negatif
terimakasih kasih libur gratis hashtag hashtag,Negatif
